TestCase1,TestCase2,Inter/Union
bw/mu/no/no/d/296/ea/A,bw/mu/no/no/d/296/ea/A,1.0
bw/mu/no/no/d/296/ea/A,bw/so/no/yes/m/262/ea/U,0.44
bw/mu/no/no/d/296/ea/A,bo/st/no/yes/m/238/ea/U,0.6
bw/mu/no/no/d/296/ea/A,bo/mu/yes/yes/d/460/ea/U,0.82
bw/mu/no/no/d/296/ea/A,bw/so/no/yes/d/404/ea/A,0.44
bw/mu/no/no/d/296/ea/A,bw/mu/yes/yes/d/290/ea/A,0.92
bw/mu/no/no/d/296/ea/A,bw/st/yes/no/m/208/ea/U,0.44
bw/mu/no/no/d/296/ea/A,bo/mu/no/no/d/466/ea/U,0.8
bw/mu/no/no/d/296/ea/A,bw/st/no/no/m/56/ea/A,0.46
bw/mu/no/no/d/296/ea/A,bo/st/yes/no/d/374/ea/A,0.57
bw/mu/no/no/d/296/ea/A,bo/st/no/yes/d/380/ea/A,0.6
bw/mu/no/no/d/296/ea/A,bo/st/no/no/d/514/ea/U,0.58
bw/mu/no/no/d/296/ea/A,bo/mu/yes/no/m/184/ea/U,0.84
bw/mu/no/no/d/296/ea/A,bw/mu/yes/yes/m/148/ea/U,0.92
bw/mu/no/no/d/296/ea/A,bo/mu/no/no/d/320/ea/A,0.8
bw/mu/no/no/d/296/ea/A,bw/st/no/no/d/344/ea/A,0.46
bw/mu/no/no/d/296/ea/A,bo/st/no/yes/m/92/ea/A,0.6
bw/mu/no/no/d/296/ea/A,bw/st/yes/yes/m/50/ea/A,0.52
bw/mu/no/no/d/296/ea/A,bo/mu/no/no/m/178/ea/U,0.8
bw/mu/no/no/d/296/ea/A,bo/so/no/yes/m/140/ea/A,0.31
bw/mu/no/no/d/296/ea/A,bw/so/yes/yes/d/386/ea/A,0.44
bw/mu/no/no/d/296/ea/A,bw/st/no/yes/m/68/ea/A,0.55
bw/mu/no/no/d/296/ea/A,bo/mu/yes/no/d/326/ea/A,0.84
bw/mu/no/no/d/296/ea/A,bo/mu/no/no/m/32/ea/A,0.8
bw/mu/no/no/d/296/ea/A,bo/so/yes/yes/m/122/ea/A,0.46
bw/mu/no/no/d/296/ea/A,bo/mu/no/yes/d/332/ea/A,0.8
bw/mu/no/no/d/296/ea/A,bo/mu/yes/yes/m/26/ea/A,0.82
bw/mu/no/no/d/296/ea/A,bw/st/yes/no/d/350/ea/A,0.44
bw/mu/no/no/d/296/ea/A,bw/st/yes/yes/m/196/ea/U,0.52
bw/mu/no/no/d/296/ea/A,bo/st/yes/no/m/86/ea/A,0.57
bw/mu/no/no/d/296/ea/A,bo/st/no/no/d/368/ea/A,0.58
bw/mu/no/no/d/296/ea/A,bo/mu/no/yes/m/44/ea/A,0.8
bw/mu/no/no/d/296/ea/A,bo/st/yes/yes/d/508/ea/U,0.58
bw/mu/no/no/d/296/ea/A,bw/mu/no/no/m/154/ea/U,1.0
bw/mu/no/no/d/296/ea/A,bw/so/no/no/d/392/ea/A,0.45
bw/mu/no/no/d/296/ea/A,bw/mu/no/yes/m/20/ea/A,0.95
bw/mu/no/no/d/296/ea/A,bw/mu/yes/no/d/302/ea/A,0.94
bw/mu/no/no/d/296/ea/A,bo/so/no/no/d/562/ea/U,0.3
bw/mu/no/no/d/296/ea/A,bw/st/no/yes/d/356/ea/A,0.55
bw/mu/no/no/d/296/ea/A,bo/mu/no/yes/m/190/ea/U,0.8
bw/mu/no/no/d/296/ea/A,bo/st/yes/yes/m/74/ea/A,0.58
bw/mu/no/no/d/296/ea/A,bw/so/no/no/d/538/ea/U,0.45
bw/mu/no/no/d/296/ea/A,bo/st/no/no/m/80/ea/A,0.58
bw/mu/no/no/d/296/ea/A,bo/mu/yes/no/d/472/ea/U,0.84
bw/mu/no/no/d/296/ea/A,bo/so/no/yes/d/428/ea/A,0.31
bw/mu/no/no/d/296/ea/A,bo/so/yes/yes/d/410/ea/A,0.46
bw/mu/no/no/d/296/ea/A,bw/st/no/yes/m/214/ea/U,0.55
bw/mu/no/no/d/296/ea/A,bw/mu/no/no/d/442/ea/U,1.0
bw/mu/no/no/d/296/ea/A,bw/mu/yes/yes/m/2/ea/A,0.92
bw/mu/no/no/d/296/ea/A,bo/so/no/no/d/416/ea/A,0.3
