TestCase1,TestCase2,Inter/Union
bo/so/no/yes/d/606/fd/U,bo/so/no/yes/d/606/fd/U,1.0
bo/so/no/yes/d/606/fd/U,bw/st/yes/no/d/639/fd/A,0.04
bo/so/no/yes/d/606/fd/U,bw/mu/no/yes/d/601/fd/U,0.04
bo/so/no/yes/d/606/fd/U,bw/mu/yes/no/d/637/fd/A,0.04
bo/so/no/yes/d/606/fd/U,bo/mu/no/yes/m/608/fd/U,0.04
bo/so/no/yes/d/606/fd/U,bo/so/yes/yes/d/630/fd/A,0.14
bo/so/no/yes/d/606/fd/U,bo/st/no/no/d/664/fd/A,0.07
bo/so/no/yes/d/606/fd/U,bw/st/no/no/d/663/fd/A,0.04
bo/so/no/yes/d/606/fd/U,bw/mu/no/yes/m/655/fd/A,0.04
bo/so/no/yes/d/606/fd/U,bo/st/no/yes/d/652/fd/A,0.07
bo/so/no/yes/d/606/fd/U,bw/mu/yes/yes/m/631/fd/A,0.04
bo/so/no/yes/d/606/fd/U,bo/so/yes/yes/m/636/fd/A,0.14
bo/so/no/yes/d/606/fd/U,bw/st/no/yes/m/609/fd/U,0.05
bo/so/no/yes/d/606/fd/U,bo/so/yes/no/m/600/fd/U,0.1
bo/so/no/yes/d/606/fd/U,bw/mu/no/yes/m/607/fd/U,0.04
bo/so/no/yes/d/606/fd/U,bo/mu/yes/no/d/638/fd/A,0.05
bo/so/no/yes/d/606/fd/U,bw/so/no/yes/d/653/fd/A,0.12
bo/so/no/yes/d/606/fd/U,bo/so/no/yes/d/654/fd/A,1.0
bo/so/no/yes/d/606/fd/U,bo/mu/no/no/d/662/fd/A,0.03
bo/so/no/yes/d/606/fd/U,bw/so/no/no/d/665/fd/A,0.1
bo/so/no/yes/d/606/fd/U,bo/mu/yes/yes/d/578/fd/U,0.05
bo/so/no/yes/d/606/fd/U,bo/so/yes/yes/d/582/fd/U,0.14
bo/so/no/yes/d/606/fd/U,bw/st/yes/yes/m/585/fd/U,0.05
bo/so/no/yes/d/606/fd/U,bo/mu/yes/yes/m/584/fd/U,0.05
bo/so/no/yes/d/606/fd/U,bw/mu/yes/yes/m/583/fd/U,0.04
bo/so/no/yes/d/606/fd/U,bw/mu/yes/yes/d/577/fd/U,0.04
bo/so/no/yes/d/606/fd/U,bw/st/yes/yes/d/579/fd/U,0.05
