TestCase1,TestCase2,Inter/Union
bw/mu/no/no/d/296/ea/A,bw/mu/no/no/d/296/ea/A,1.0
bw/mu/no/no/d/296/ea/A,bo/so/no/yes/d/606/fd/U,0.04
bw/mu/no/no/d/296/ea/A,bw/so/no/yes/m/262/ea/U,0.44
bw/mu/no/no/d/296/ea/A,bo/st/yes/yes/d/853/il/A,0.6
bw/mu/no/no/d/296/ea/A,bw/st/yes/no/d/639/fd/A,0.26
bw/mu/no/no/d/296/ea/A,bw/mu/no/yes/d/601/fd/U,0.52
bw/mu/no/no/d/296/ea/A,bo/st/no/no/d/854/il/A,0.58
bw/mu/no/no/d/296/ea/A,bw/mu/yes/no/d/637/fd/A,0.53
bw/mu/no/no/d/296/ea/A,bo/so/no/no/d/862/il/A,0.34
bw/mu/no/no/d/296/ea/A,bo/mu/no/yes/m/608/fd/U,0.54
bw/mu/no/no/d/296/ea/A,bo/so/yes/yes/d/630/fd/A,0.35
bw/mu/no/no/d/296/ea/A,bo/st/yes/no/m/831/il/A,0.58
bw/mu/no/no/d/296/ea/A,bw/mu/no/yes/d/456/nc/U,0.68
bw/mu/no/no/d/296/ea/A,bo/st/no/no/d/664/fd/A,0.46
bw/mu/no/no/d/296/ea/A,bo/st/no/yes/m/238/ea/U,0.6
bw/mu/no/no/d/296/ea/A,bw/so/no/yes/m/836/il/A,0.44
bw/mu/no/no/d/296/ea/A,bw/st/no/no/d/663/fd/A,0.26
bw/mu/no/no/d/296/ea/A,bw/so/yes/yes/d/809/il/U,0.44
bw/mu/no/no/d/296/ea/A,bw/st/yes/no/m/207/ll/U,0.36
bw/mu/no/no/d/296/ea/A,bo/mu/no/yes/d/800/il/U,0.74
bw/mu/no/no/d/296/ea/A,bo/st/yes/no/m/231/ll/U,0.45
bw/mu/no/no/d/296/ea/A,bw/mu/no/yes/m/655/fd/A,0.52
bw/mu/no/no/d/296/ea/A,bo/mu/no/no/d/467/ll/A,0.57
bw/mu/no/no/d/296/ea/A,bo/st/yes/no/d/807/il/U,0.58
bw/mu/no/no/d/296/ea/A,bw/st/yes/no/m/209/ll/A,0.36
bw/mu/no/no/d/296/ea/A,bo/mu/yes/yes/d/460/ea/U,0.82
bw/mu/no/no/d/296/ea/A,bo/st/no/yes/d/652/fd/A,0.51
bw/mu/no/no/d/296/ea/A,bo/so/no/no/m/838/il/A,0.34
bw/mu/no/no/d/296/ea/A,bw/so/yes/no/m/255/ll/U,0.26
bw/mu/no/no/d/296/ea/A,bw/mu/yes/yes/m/631/fd/A,0.55
bw/mu/no/no/d/296/ea/A,bo/so/no/yes/d/864/il/A,0.35
bw/mu/no/no/d/296/ea/A,bo/so/yes/yes/m/636/fd/A,0.35
bw/mu/no/no/d/296/ea/A,bw/so/no/yes/d/404/ea/A,0.44
bw/mu/no/no/d/296/ea/A,bw/so/no/no/m/252/nc/U,0.44
bw/mu/no/no/d/296/ea/A,bo/so/yes/no/d/863/il/A,0.45
bw/mu/no/no/d/296/ea/A,bw/st/no/yes/m/609/fd/U,0.37
bw/mu/no/no/d/296/ea/A,bw/mu/yes/yes/d/290/ea/A,0.92
bw/mu/no/no/d/296/ea/A,bw/so/no/yes/m/264/nc/U,0.45
bw/mu/no/no/d/296/ea/A,bo/so/yes/no/m/600/fd/U,0.24
bw/mu/no/no/d/296/ea/A,bo/st/yes/no/d/855/il/A,0.58
bw/mu/no/no/d/296/ea/A,bw/mu/yes/yes/d/435/ll/U,0.65
