TestCase1,TestCase2,Inter/Union
bo/st/yes/yes/d/853/il/A,bo/st/yes/yes/d/853/il/A,1.0
bo/st/yes/yes/d/853/il/A,bo/st/no/no/d/854/il/A,0.89
bo/st/yes/yes/d/853/il/A,bo/so/no/no/d/862/il/A,0.45
bo/st/yes/yes/d/853/il/A,bo/st/yes/no/m/831/il/A,0.96
bo/st/yes/yes/d/853/il/A,bw/so/no/yes/m/836/il/A,0.55
bo/st/yes/yes/d/853/il/A,bw/so/yes/yes/d/809/il/U,0.55
bo/st/yes/yes/d/853/il/A,bo/mu/no/yes/d/800/il/U,0.71
bo/st/yes/yes/d/853/il/A,bo/st/yes/no/d/807/il/U,0.96
bo/st/yes/yes/d/853/il/A,bo/so/no/no/m/838/il/A,0.45
bo/st/yes/yes/d/853/il/A,bo/so/no/yes/d/864/il/A,0.45
bo/st/yes/yes/d/853/il/A,bo/so/yes/no/d/863/il/A,0.6
bo/st/yes/yes/d/853/il/A,bo/st/yes/no/d/855/il/A,0.96
bo/st/yes/yes/d/853/il/A,bw/st/no/yes/d/852/il/A,0.61
bo/st/yes/yes/d/853/il/A,bo/st/no/no/d/806/il/U,0.89
bo/st/yes/yes/d/853/il/A,bo/so/yes/no/m/839/il/A,0.6
bo/st/yes/yes/d/853/il/A,bw/st/yes/yes/d/801/il/U,0.58
bo/st/yes/yes/d/853/il/A,bo/so/yes/yes/m/837/il/A,0.65
bo/st/yes/yes/d/853/il/A,bo/st/no/yes/d/808/il/U,0.9
bo/st/yes/yes/d/853/il/A,bo/st/no/no/m/830/il/A,0.89
bo/st/yes/yes/d/853/il/A,bo/st/yes/yes/m/781/il/U,1.0
bo/st/yes/yes/d/853/il/A,bo/mu/yes/no/m/775/il/U,0.7
bo/st/yes/yes/d/853/il/A,bw/mu/no/yes/m/772/il/U,0.69
bo/st/yes/yes/d/853/il/A,bw/so/no/no/m/786/il/U,0.51
bo/st/yes/yes/d/853/il/A,bw/so/no/yes/m/788/il/U,0.55
bo/st/yes/yes/d/853/il/A,bo/so/yes/yes/m/789/il/U,0.65
bo/st/yes/yes/d/853/il/A,bw/so/yes/no/m/787/il/U,0.52
bo/st/yes/yes/d/853/il/A,bo/mu/yes/yes/m/773/il/U,0.71
bo/st/yes/yes/d/853/il/A,bo/mu/no/no/m/774/il/U,0.7
bo/st/yes/yes/d/853/il/A,bw/st/no/yes/m/780/il/U,0.61
bo/st/yes/yes/d/853/il/A,bw/mu/yes/yes/m/769/il/U,0.69
bo/st/yes/yes/d/853/il/A,bw/mu/yes/yes/d/793/il/U,0.69
bo/st/yes/yes/d/853/il/A,bw/mu/no/no/d/794/il/U,0.68
bo/st/yes/yes/d/853/il/A,bw/mu/yes/no/d/795/il/U,0.68
bo/st/yes/yes/d/853/il/A,bo/so/no/yes/m/792/il/U,0.45
bo/st/yes/yes/d/853/il/A,bw/so/no/yes/d/812/il/U,0.55
bo/st/yes/yes/d/853/il/A,bo/so/yes/no/d/815/il/U,0.6
bo/st/yes/yes/d/853/il/A,bo/mu/yes/no/m/823/il/A,0.7
bo/st/yes/yes/d/853/il/A,bo/mu/no/yes/m/824/il/A,0.71
bo/st/yes/yes/d/853/il/A,bo/mu/no/yes/d/848/il/A,0.71
bo/st/yes/yes/d/853/il/A,bw/mu/yes/yes/d/841/il/A,0.69
bo/st/yes/yes/d/853/il/A,bo/mu/no/no/d/846/il/A,0.7
bo/st/yes/yes/d/853/il/A,bw/st/yes/yes/m/825/il/A,0.58
bo/st/yes/yes/d/853/il/A,bo/mu/no/no/m/822/il/A,0.7
bo/st/yes/yes/d/853/il/A,bo/so/no/no/d/814/il/U,0.45
bo/st/yes/yes/d/853/il/A,bo/so/yes/yes/d/813/il/U,0.65
bo/st/yes/yes/d/853/il/A,bo/mu/yes/no/d/847/il/A,0.7
bo/st/yes/yes/d/853/il/A,bo/so/no/yes/m/840/il/A,0.45
bo/st/yes/yes/d/853/il/A,bw/st/yes/yes/d/849/il/A,0.58
bo/st/yes/yes/d/853/il/A,bw/so/yes/no/m/835/il/A,0.52
bo/st/yes/yes/d/853/il/A,bo/st/no/yes/m/832/il/A,0.9
bo/st/yes/yes/d/853/il/A,bw/st/no/yes/d/804/il/U,0.61
bo/st/yes/yes/d/853/il/A,bw/st/yes/no/d/803/il/U,0.39
bo/st/yes/yes/d/853/il/A,bw/so/yes/yes/d/857/il/A,0.55
bo/st/yes/yes/d/853/il/A,bw/st/no/no/d/850/il/A,0.4
bo/st/yes/yes/d/853/il/A,bw/so/yes/no/d/859/il/A,0.52
bo/st/yes/yes/d/853/il/A,bo/so/yes/yes/d/861/il/A,0.65
bo/st/yes/yes/d/853/il/A,bw/st/no/no/d/802/il/U,0.4
bo/st/yes/yes/d/853/il/A,bo/st/yes/yes/d/805/il/U,1.0
bo/st/yes/yes/d/853/il/A,bw/so/yes/yes/m/833/il/A,0.55
bo/st/yes/yes/d/853/il/A,bw/so/no/no/m/834/il/A,0.51
bo/st/yes/yes/d/853/il/A,bw/so/no/yes/d/860/il/A,0.55
bo/st/yes/yes/d/853/il/A,bw/so/no/no/d/858/il/A,0.51
bo/st/yes/yes/d/853/il/A,bw/st/yes/no/d/851/il/A,0.39
bo/st/yes/yes/d/853/il/A,bo/st/no/yes/d/856/il/A,0.9
bo/st/yes/yes/d/853/il/A,bw/mu/yes/no/m/771/il/U,0.68
bo/st/yes/yes/d/853/il/A,bw/so/yes/yes/m/785/il/U,0.55
bo/st/yes/yes/d/853/il/A,bo/st/no/no/m/782/il/U,0.89
bo/st/yes/yes/d/853/il/A,bo/mu/no/yes/m/776/il/U,0.71
bo/st/yes/yes/d/853/il/A,bw/st/no/no/m/778/il/U,0.4
bo/st/yes/yes/d/853/il/A,bw/st/yes/no/m/779/il/U,0.39
bo/st/yes/yes/d/853/il/A,bw/st/yes/yes/m/777/il/U,0.58
bo/st/yes/yes/d/853/il/A,bo/st/yes/no/m/783/il/U,0.96
bo/st/yes/yes/d/853/il/A,bo/st/no/yes/m/784/il/U,0.9
bo/st/yes/yes/d/853/il/A,bw/mu/no/no/m/770/il/U,0.68
bo/st/yes/yes/d/853/il/A,bo/mu/yes/no/d/799/il/U,0.7
bo/st/yes/yes/d/853/il/A,bo/mu/yes/yes/d/797/il/U,0.71
bo/st/yes/yes/d/853/il/A,bo/so/no/no/m/790/il/U,0.45
bo/st/yes/yes/d/853/il/A,bo/so/yes/no/m/791/il/U,0.6
bo/st/yes/yes/d/853/il/A,bw/mu/no/yes/d/796/il/U,0.69
bo/st/yes/yes/d/853/il/A,bo/mu/no/no/d/798/il/U,0.7
bo/st/yes/yes/d/853/il/A,bo/mu/yes/yes/d/845/il/A,0.71
bo/st/yes/yes/d/853/il/A,bw/mu/no/no/d/842/il/A,0.68
bo/st/yes/yes/d/853/il/A,bo/st/yes/yes/m/829/il/A,1.0
bo/st/yes/yes/d/853/il/A,bo/so/no/yes/d/816/il/U,0.45
bo/st/yes/yes/d/853/il/A,bw/so/yes/no/d/811/il/U,0.52
bo/st/yes/yes/d/853/il/A,bw/mu/no/no/m/818/il/A,0.68
bo/st/yes/yes/d/853/il/A,bw/st/yes/no/m/827/il/A,0.39
bo/st/yes/yes/d/853/il/A,bw/mu/no/yes/m/820/il/A,0.69
bo/st/yes/yes/d/853/il/A,bw/mu/yes/no/d/843/il/A,0.68
bo/st/yes/yes/d/853/il/A,bw/mu/no/yes/d/844/il/A,0.69
bo/st/yes/yes/d/853/il/A,bo/mu/yes/yes/m/821/il/A,0.71
bo/st/yes/yes/d/853/il/A,bw/mu/yes/no/m/819/il/A,0.68
bo/st/yes/yes/d/853/il/A,bw/st/no/no/m/826/il/A,0.4
