TestCase1,TestCase2,Inter/Union
bw/st/yes/no/m/207/ll/U,bw/st/yes/no/m/207/ll/U,1.0
bw/st/yes/no/m/207/ll/U,bo/st/yes/no/m/231/ll/U,0.55
bw/st/yes/no/m/207/ll/U,bo/mu/no/no/d/467/ll/A,0.38
bw/st/yes/no/m/207/ll/U,bw/st/yes/no/m/209/ll/A,1.0
bw/st/yes/no/m/207/ll/U,bw/so/yes/no/m/255/ll/U,0.38
bw/st/yes/no/m/207/ll/U,bw/mu/yes/yes/d/435/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bw/so/no/yes/m/263/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bo/mu/yes/yes/d/461/ll/A,0.43
bw/st/yes/no/m/207/ll/U,bo/st/no/yes/m/237/ll/U,0.37
bw/st/yes/no/m/207/ll/U,bw/st/yes/no/d/495/ll/U,1.0
bw/st/yes/no/m/207/ll/U,bo/mu/yes/yes/d/459/ll/U,0.43
bw/st/yes/no/m/207/ll/U,bo/st/no/yes/m/239/ll/A,0.37
bw/st/yes/no/m/207/ll/U,bw/st/no/no/m/201/ll/U,0.85
bw/st/yes/no/m/207/ll/U,bo/st/no/yes/d/525/ll/U,0.37
bw/st/yes/no/m/207/ll/U,bo/mu/no/no/m/179/ll/A,0.38
bw/st/yes/no/m/207/ll/U,bo/mu/yes/no/m/183/ll/U,0.41
bw/st/yes/no/m/207/ll/U,bo/mu/no/no/m/177/ll/U,0.38
bw/st/yes/no/m/207/ll/U,bo/st/no/no/d/513/ll/U,0.39
bw/st/yes/no/m/207/ll/U,bw/so/no/yes/d/549/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bw/mu/yes/yes/m/149/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bo/mu/yes/no/m/185/ll/A,0.41
bw/st/yes/no/m/207/ll/U,bo/st/no/no/d/515/ll/A,0.39
bw/st/yes/no/m/207/ll/U,bo/mu/yes/yes/m/171/ll/U,0.43
bw/st/yes/no/m/207/ll/U,bw/mu/yes/yes/m/147/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bo/so/no/no/d/563/ll/A,0.12
bw/st/yes/no/m/207/ll/U,bo/so/yes/yes/d/555/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bw/so/no/no/d/539/ll/A,0.37
bw/st/yes/no/m/207/ll/U,bo/mu/no/yes/m/191/ll/A,0.39
bw/st/yes/no/m/207/ll/U,bw/st/no/yes/d/501/ll/U,0.78
bw/st/yes/no/m/207/ll/U,bw/mu/no/yes/m/165/ll/U,0.41
bw/st/yes/no/m/207/ll/U,bw/mu/no/no/m/153/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bw/so/no/no/d/537/ll/U,0.37
bw/st/yes/no/m/207/ll/U,bw/so/yes/yes/d/531/ll/U,0.44
bw/st/yes/no/m/207/ll/U,bw/mu/no/no/m/155/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bo/st/yes/yes/d/509/ll/A,0.5
bw/st/yes/no/m/207/ll/U,bw/st/yes/yes/m/197/ll/A,0.87
bw/st/yes/no/m/207/ll/U,bo/st/yes/yes/d/507/ll/U,0.5
bw/st/yes/no/m/207/ll/U,bw/st/no/yes/m/215/ll/A,0.78
bw/st/yes/no/m/207/ll/U,bw/mu/no/no/d/443/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bo/so/yes/no/m/279/ll/U,0.37
bw/st/yes/no/m/207/ll/U,bw/st/no/no/d/489/ll/U,0.85
bw/st/yes/no/m/207/ll/U,bw/st/no/yes/m/213/ll/U,0.78
bw/st/yes/no/m/207/ll/U,bo/st/no/no/m/225/ll/U,0.39
bw/st/yes/no/m/207/ll/U,bo/mu/yes/no/d/473/ll/A,0.41
bw/st/yes/no/m/207/ll/U,bw/so/no/no/m/249/ll/U,0.37
bw/st/yes/no/m/207/ll/U,bo/so/no/yes/m/285/ll/U,0.11
bw/st/yes/no/m/207/ll/U,bw/st/no/no/m/203/ll/A,0.85
bw/st/yes/no/m/207/ll/U,bw/mu/no/yes/d/455/ll/A,0.41
bw/st/yes/no/m/207/ll/U,bw/st/yes/no/d/497/ll/A,1.0
bw/st/yes/no/m/207/ll/U,bw/mu/yes/yes/d/437/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bw/so/no/yes/m/261/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bw/so/yes/no/m/257/ll/A,0.38
bw/st/yes/no/m/207/ll/U,bw/st/no/no/d/491/ll/A,0.85
bw/st/yes/no/m/207/ll/U,bo/st/yes/no/m/233/ll/A,0.55
bw/st/yes/no/m/207/ll/U,bo/mu/no/no/d/465/ll/U,0.38
bw/st/yes/no/m/207/ll/U,bw/mu/no/yes/d/453/ll/U,0.41
bw/st/yes/no/m/207/ll/U,bw/so/no/no/m/251/ll/A,0.37
bw/st/yes/no/m/207/ll/U,bo/so/yes/yes/m/269/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bo/so/yes/yes/m/267/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bw/so/yes/no/d/543/ll/U,0.38
bw/st/yes/no/m/207/ll/U,bo/so/no/yes/d/575/ll/A,0.11
bw/st/yes/no/m/207/ll/U,bo/st/yes/no/d/521/ll/A,0.55
bw/st/yes/no/m/207/ll/U,bo/mu/no/yes/m/189/ll/U,0.39
bw/st/yes/no/m/207/ll/U,bo/st/yes/no/d/519/ll/U,0.55
bw/st/yes/no/m/207/ll/U,bo/mu/yes/yes/m/173/ll/A,0.43
bw/st/yes/no/m/207/ll/U,bo/so/no/yes/d/573/ll/U,0.11
bw/st/yes/no/m/207/ll/U,bw/so/yes/no/d/545/ll/A,0.38
bw/st/yes/no/m/207/ll/U,bo/st/no/yes/d/527/ll/A,0.37
bw/st/yes/no/m/207/ll/U,bw/mu/yes/no/m/159/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bw/mu/yes/no/m/161/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bw/st/yes/yes/m/195/ll/U,0.87
bw/st/yes/no/m/207/ll/U,bw/so/yes/yes/d/533/ll/A,0.44
bw/st/yes/no/m/207/ll/U,bo/so/yes/no/d/567/ll/U,0.37
bw/st/yes/no/m/207/ll/U,bw/so/no/yes/d/551/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bo/so/yes/no/d/569/ll/A,0.37
bw/st/yes/no/m/207/ll/U,bw/st/no/yes/d/503/ll/A,0.78
bw/st/yes/no/m/207/ll/U,bw/mu/no/yes/m/167/ll/A,0.41
bw/st/yes/no/m/207/ll/U,bo/so/yes/yes/d/557/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bo/so/no/no/d/561/ll/U,0.12
bw/st/yes/no/m/207/ll/U,bw/so/yes/yes/m/245/ll/A,0.44
bw/st/yes/no/m/207/ll/U,bo/so/no/yes/m/287/ll/A,0.11
bw/st/yes/no/m/207/ll/U,bo/so/no/no/m/273/ll/U,0.12
bw/st/yes/no/m/207/ll/U,bw/st/yes/yes/d/485/ll/A,0.87
bw/st/yes/no/m/207/ll/U,bo/st/no/no/m/227/ll/A,0.39
bw/st/yes/no/m/207/ll/U,bo/mu/yes/no/d/471/ll/U,0.41
bw/st/yes/no/m/207/ll/U,bw/mu/yes/no/d/449/ll/A,0.42
bw/st/yes/no/m/207/ll/U,bw/mu/yes/no/d/447/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bo/so/yes/no/m/281/ll/A,0.37
bw/st/yes/no/m/207/ll/U,bo/so/no/no/m/275/ll/A,0.12
bw/st/yes/no/m/207/ll/U,bw/so/yes/yes/m/243/ll/U,0.44
bw/st/yes/no/m/207/ll/U,bo/mu/no/yes/d/479/ll/A,0.39
bw/st/yes/no/m/207/ll/U,bw/mu/no/no/d/441/ll/U,0.42
bw/st/yes/no/m/207/ll/U,bw/st/yes/yes/d/483/ll/U,0.87
bw/st/yes/no/m/207/ll/U,bo/mu/no/yes/d/477/ll/U,0.39
bw/st/yes/no/m/207/ll/U,bo/st/yes/yes/m/221/ll/A,0.5
bw/st/yes/no/m/207/ll/U,bo/st/yes/yes/m/219/ll/U,0.5
bo/st/yes/no/m/231/ll/U,bw/st/yes/no/m/207/ll/U,0.55
bo/st/yes/no/m/231/ll/U,bo/st/yes/no/m/231/ll/U,1.0
bo/st/yes/no/m/231/ll/U,bo/mu/no/no/d/467/ll/A,0.5
bo/st/yes/no/m/231/ll/U,bw/st/yes/no/m/209/ll/A,0.55
bo/st/yes/no/m/231/ll/U,bw/so/yes/no/m/255/ll/U,0.37
bo/st/yes/no/m/231/ll/U,bw/mu/yes/yes/d/435/ll/U,0.57
bo/st/yes/no/m/231/ll/U,bw/so/no/yes/m/263/ll/A,0.44
bo/st/yes/no/m/231/ll/U,bo/mu/yes/yes/d/461/ll/A,0.55
bo/st/yes/no/m/231/ll/U,bo/st/no/yes/m/237/ll/U,0.58
bo/st/yes/no/m/231/ll/U,bw/st/yes/no/d/495/ll/U,0.55
bo/st/yes/no/m/231/ll/U,bo/mu/yes/yes/d/459/ll/U,0.55
bo/st/yes/no/m/231/ll/U,bo/st/no/yes/m/239/ll/A,0.58
bo/st/yes/no/m/231/ll/U,bw/st/no/no/m/201/ll/U,0.54
bo/st/yes/no/m/231/ll/U,bo/st/no/yes/d/525/ll/U,0.58
bo/st/yes/no/m/231/ll/U,bo/mu/no/no/m/179/ll/A,0.5
bo/st/yes/no/m/231/ll/U,bo/mu/yes/no/m/183/ll/U,0.56
bo/st/yes/no/m/231/ll/U,bo/mu/no/no/m/177/ll/U,0.5
bo/st/yes/no/m/231/ll/U,bo/st/no/no/d/513/ll/U,0.59
bo/st/yes/no/m/231/ll/U,bw/so/no/yes/d/549/ll/U,0.44
bo/st/yes/no/m/231/ll/U,bw/mu/yes/yes/m/149/ll/A,0.57
bo/st/yes/no/m/231/ll/U,bo/mu/yes/no/m/185/ll/A,0.56
bo/st/yes/no/m/231/ll/U,bo/st/no/no/d/515/ll/A,0.59
bo/st/yes/no/m/231/ll/U,bo/mu/yes/yes/m/171/ll/U,0.55
bo/st/yes/no/m/231/ll/U,bw/mu/yes/yes/m/147/ll/U,0.57
bo/st/yes/no/m/231/ll/U,bo/so/no/no/d/563/ll/A,0.13
bo/st/yes/no/m/231/ll/U,bo/so/yes/yes/d/555/ll/U,0.5
bo/st/yes/no/m/231/ll/U,bw/so/no/no/d/539/ll/A,0.37
