TestCase,Sample,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,Environment,"baseRecalibration, isTrimmed","Mapper, VariantCaller"
2,EA,YES,YES,BWA,Mutect,MARK,a047,07:15:00,Altay + COSAP,"YES, YES","BWA, Mutect"
8,EA,NO,NO,BWA,Mutect,MARK,a047,06:12:47,Altay + COSAP,"NO, NO","BWA, Mutect"
14,EA,YES,NO,BWA,Mutect,MARK,a047,05:48:51,Altay + COSAP,"NO, YES","BWA, Mutect"
20,EA,NO,YES,BWA,Mutect,MARK,a047,07:44:08,Altay + COSAP,"YES, NO","BWA, Mutect"
26,EA,YES,YES,BOWTIE,Mutect,MARK,a078,07:36:41,Altay + COSAP,"YES, YES","BOWTIE, Mutect"
32,EA,NO,NO,BOWTIE,Mutect,MARK,a078,09:57:30,Altay + COSAP,"NO, NO","BOWTIE, Mutect"
38,EA,YES,NO,BOWTIE,Mutect,MARK,a078,06:05:48,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
44,EA,NO,YES,BOWTIE,Mutect,MARK,a078,10:37:11,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
50,EA,YES,YES,BWA,Strelka,MARK,a063,03:34:43,Altay + COSAP,"YES, YES","BWA, Strelka"
56,EA,NO,NO,BWA,Strelka,MARK,a063,01:39:41,Altay + COSAP,"NO, NO","BWA, Strelka"
62,EA,YES,NO,BWA,Strelka,MARK,a063,02:00:07,Altay + COSAP,"NO, YES","BWA, Strelka"
68,EA,NO,YES,BWA,Strelka,MARK,a063,03:23:03,Altay + COSAP,"YES, NO","BWA, Strelka"
74,EA,YES,YES,BOWTIE,Strelka,MARK,a076,04:14:42,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
80,EA,NO,NO,BOWTIE,Strelka,MARK,a076,02:19:51,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
86,EA,YES,NO,BOWTIE,Strelka,MARK,a076,02:29:00,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
