Key,Total Length,After FilterPass,After RemoveIndels
296,2476,1276,1276
606,377,377,377
262,1473,1473,1473
853,44768,1153,1153
639,179224,3231,3231
601,3331,1400,1400
854,75527,1136,1136
637,3387,1378,1378
862,832,832,832
608,4097,1086,1086
630,1767,1767,1767
831,84265,1199,1199
456,2602,1131,1131
664,100831,1048,1048
238,44900,1080,1080
836,1440,1440,1440
663,172581,3274,3274
809,1469,1469,1469
207,105747,2122,2122
800,2326,1039,1039
231,90412,1313,1313
655,3331,1400,1400
467,4004,968,968
807,84265,1199,1199
209,105747,2122,2122
460,1779,1082,1082
652,53620,889,889
838,832,832,832
255,2724,2724,2724
631,3207,1290,1290
864,680,680,680
636,1767,1767,1767
404,1473,1473,1473
252,1516,1516,1516
863,1357,1357,1357
609,101570,2182,2182
290,2273,1261,1261
264,1456,1456,1456
600,2892,2892,2892
855,84265,1199,1199
435,2713,956,956
607,3331,1400,1400
263,2164,2164,2164
852,57069,1625,1625
638,3126,1073,1073
208,80242,2343,2343
806,75527,1136,1136
653,2183,2183,2183
461,2492,967,967
839,1357,1357,1357
237,42838,838,838
495,105747,2122,2122
459,2492,967,967
801,58140,1711,1711
492,94264,1989,1989
466,2394,1094,1094
654,377,377,377
837,1081,1081,1081
239,42839,838,838
450,2586,1139,1139
662,4410,1369,1369
808,42979,1076,1076
468,2588,1084,1084
830,75527,1136,1136
201,102367,2055,2055
665,3110,3110,3110
525,42839,838,838
56,79914,2245,2245
728,2450,1071,1071
374,66390,1230,1230
522,81542,1209,1209
380,44900,1080,1080
179,4004,968,968
514,58901,1131,1131
726,1246,1246,1246
184,1857,1117,1117
183,2999,916,916
177,4004,968,968
721,2775,1137,1137
513,62355,949,949
148,2273,1261,1261
578,2915,1006,1006
781,44768,1153,1153
775,5278,1051,1051
772,2483,1132,1132
540,1516,1516,1516
786,1688,1688,1688
549,2164,2164,2164
320,2394,1094,1094
744,1369,1369,1369
576,697,697,697
582,1767,1767,1767
788,1440,1440,1440
585,98835,2209,2209
743,1562,1562,1562
344,79914,2245,2245
149,2713,956,956
185,2999,916,916
727,2775,1137,1137
515,62357,949,949
171,2492,967,967
92,44900,1080,1080
147,2713,956,956
50,63459,1915,1915
178,2394,1094,1094
140,639,639,639
386,1550,1550,1550
68,60509,1809,1809
729,76983,1835,1835
789,1081,1081,1081
742,81542,1209,1209
570,1369,1369,1369
326,1857,1117,1117
584,2915,1006,1006
583,3207,1290,1290
577,3207,1290,1290
745,2602,1131,1131
32,2394,1094,1094
787,1671,1671,1671
773,2172,1054,1054
579,98835,2209,2209
122,1211,1211,1211
774,5472,1043,1043
546,1562,1562,1562
780,57069,1625,1625
564,787,787,787
756,697,697,697
332,2076,1075,1075
590,3126,1073,1073
769,2558,1128,1128
597,179222,3231,3231
751,2602,1131,1131
563,846,846,846
793,2558,1128,1128
767,1516,1516,1516
555,1752,1752,1752
26,1779,1082,1082
758,2588,1084,1084
552,1456,1456,1456
760,71252,1103,1103
794,5385,1125,1125
599,3299,3299,3299
539,2622,2622,2622
162,2586,1139,1139
350,80242,2343,2343
734,2292,1078,1078
196,63460,1915,1915
86,66390,1230,1230
368,58901,1131,1131
191,3012,895,895
501,83157,1817,1817
733,2586,1139,1139
165,2786,1023,1023
44,2076,1075,1075
198,76983,1835,1835
508,49695,1193,1193
153,3307,1104,1104
537,2622,2622,2622
154,2476,1276,1276
392,1543,1543,1543
795,5388,1125,1125
761,1516,1516,1516
20,2413,1237,1237
598,150008,1422,1422
766,71252,1103,1103
302,2275,1293,1293
792,680,680,680
759,94264,1989,1989
562,758,758,758
750,697,697,697
596,3126,1073,1073
591,179223,3231,3231
757,2575,1138,1138
768,787,787,787
531,2210,2210,2210
155,3307,1104,1104
509,65207,1173,1173
732,1246,1246,1246
356,60509,1809,1809
190,2076,1075,1075
74,49695,1193,1193
538,1543,1543,1543
80,58901,1131,1131
197,83342,1872,1872
507,65207,1173,1173
735,93668,2050,2050
647,3299,3299,3299
812,1440,1440,1440
486,76983,1835,1835
640,150009,1422,1422
472,1857,1117,1117
815,1357,1357,1357
444,2575,1138,1138
823,5278,1051,1051
649,3331,1400,1400
215,83157,1817,1817
443,3307,1104,1104
671,3110,3110,3110
824,2326,1039,1039
428,639,639,639
625,3207,1290,1290
279,2406,2406,2406
410,1211,1211,1211
622,100829,1048,1048
246,1499,1499,1499
848,2326,1039,1039
841,2558,1128,1128
270,1246,1246,1246
614,4410,1369,1369
846,5472,1043,1043
613,3515,1504,1504
214,60509,1809,1809
670,100831,1048,1048
442,2476,1276,1276
489,102367,2055,2055
825,58140,1711,1711
213,83157,1817,1817
822,5472,1043,1043
648,2892,2892,2892
225,62356,949,949
473,2999,916,916
641,3299,3299,3299
814,832,832,832
2,2273,1261,1261
480,2435,1086,1086
646,150008,1422,1422
474,2292,1078,1078
222,62810,1179,1179
813,1081,1081,1081
847,5278,1051,1051
249,2622,2622,2622
282,1369,1369,1369
612,377,377,377
276,787,787,787
840,680,680,680
615,172581,3274,3274
285,550,550,550
623,3110,3110,3110
849,58140,1711,1711
240,52670,1045,1045
416,758,758,758
624,789,789,789
835,1671,1671,1671
660,377,377,377
204,94264,1989,1989
658,53620,889,889
832,42979,1076,1076
203,102367,2055,2055
667,3515,1504,1504
455,2786,1023,1023
804,57069,1625,1625
497,105747,2122,2122
651,101570,2182,2182
669,172581,3274,3274
803,105996,2601,2601
232,66390,1230,1230
656,4097,1086,1086
490,79914,2245,2245
602,4097,1086,1086
857,1469,1469,1469
437,2713,956,956
605,2183,2183,2183
261,2164,2164,2164
850,107550,2561,2561
257,2724,2724,2724
859,1671,1671,1671
633,98835,2209,2209
268,1211,1211,1211
634,83476,1242,1242
250,1543,1543,1543
861,1081,1081,1081
668,4410,1369,1369
802,107550,2561,2561
491,102367,2055,2055
233,90415,1313,1313
657,101570,2182,2182
465,4004,968,968
805,44768,1153,1153
462,2450,1071,1071
650,4097,1086,1086
234,81542,1209,1209
496,80242,2343,2343
659,2183,2183,2183
833,1468,1468,1468
202,79914,2245,2245
454,2413,1237,1237
666,789,789,789
498,93668,2050,2050
834,1688,1688,1688
661,3515,1504,1504
453,2786,1023,1023
635,2227,2227,2227
251,2622,2622,2622
860,1440,1440,1440
438,2775,1137,1137
858,1688,1688,1688
256,1600,1600,1600
632,2915,1006,1006
269,1752,1752,1752
604,53620,889,889
436,2273,1261,1261
851,105997,2601,2601
267,1752,1752,1752
603,101570,2182,2182
856,42979,1076,1076
258,1562,1562,1562
588,1767,1767,1767
543,2724,2724,2724
771,5389,1125,1125
785,1469,1469,1469
749,1456,1456,1456
782,75527,1136,1136
776,2326,1039,1039
544,1600,1600,1600
586,83476,1242,1242
740,2292,1078,1078
116,1473,1473,1473
778,107550,2561,2561
575,550,550,550
747,77064,1757,1757
581,2227,2227,2227
521,90413,1313,1313
526,44900,1080,1080
189,3012,895,895
519,90414,1313,1313
180,2588,1084,1084
174,2450,1071,1071
510,62810,1179,1179
722,2450,1071,1071
725,1499,1499,1499
173,2492,967,967
528,52670,1045,1045
779,105996,2601,2601
580,83477,1242,1242
38,1857,1117,1117
110,1600,1600,1600
746,2435,1086,1086
574,639,639,639
128,758,758,758
573,550,550,550
741,93668,2050,2050
587,2227,2227,2227
748,52670,1045,1045
545,2724,2724,2724
777,58141,1711,1711
783,84265,1199,1199
589,3387,1378,1378
784,42979,1076,1076
770,5385,1125,1125
314,1779,1082,1082
186,2292,1078,1078
516,71252,1103,1103
724,62810,1179,1179
172,1779,1082,1082
723,76983,1835,1835
62,80242,2343,2343
527,42838,838,838
98,1550,1550,1550
520,66390,1230,1230
159,3149,962,962
192,2435,1086,1086
730,62810,1179,1179
502,60509,1809,1809
166,2413,1237,1237
398,1600,1600,1600
161,3149,962,962
737,1562,1562,1562
195,83342,1872,1872
168,2602,1131,1131
533,2210,2210,2210
739,2586,1139,1139
150,2775,1137,1137
362,49695,1193,1193
534,1499,1499,1499
594,2892,2892,2892
104,1543,1543,1543
752,2435,1086,1086
799,5278,1051,1051
755,1456,1456,1456
567,2406,2406,2406
593,3299,3299,3299
558,1246,1246,1246
14,2275,1293,1293
763,2575,1138,1138
551,2164,2164,2164
797,2172,1054,1054
338,63460,1915,1915
790,832,832,832
556,1211,1211,1211
764,2588,1084,1084
569,2406,2406,2406
738,1369,1369,1369
532,1550,1550,1550
156,2575,1138,1138
160,2275,1293,1293
736,81542,1209,1209
504,77064,1757,1757
503,83157,1817,1817
731,1499,1499,1499
167,2786,1023,1023
765,94264,1989,1989
557,1752,1752,1752
791,1357,1357,1357
568,1401,1401,1401
796,2483,1132,1132
134,1401,1401,1401
550,1473,1473,1473
762,787,787,787
592,150007,1422,1422
754,52670,1045,1045
753,77064,1757,1757
561,846,846,846
595,3387,1378,1378
308,2413,1237,1237
798,5472,1043,1043
621,172581,3274,3274
245,2210,2210,2210
619,3515,1504,1504
626,2915,1006,1006
845,2172,1054,1054
422,1401,1401,1401
610,53620,889,889
274,758,758,758
280,1401,1401,1401
628,83475,1242,1242
842,5385,1125,1125
287,550,550,550
273,846,846,846
617,3110,3110,3110
485,83342,1872,1872
227,62356,949,949
829,44768,1153,1153
471,2999,916,916
643,3387,1378,1378
816,680,680,680
644,3126,1073,1073
220,49695,1193,1193
811,1671,1671,1671
449,3149,962,962
818,5385,1125,1125
216,77064,1757,1757
672,789,789,789
827,105996,2601,2601
447,3149,962,962
820,2483,1132,1132
478,2076,1075,1075
629,2227,2227,2227
843,5388,1125,1125
616,100828,1048,1048
286,639,639,639
844,2483,1132,1132
281,2406,2406,2406
611,2183,2183,2183
275,846,846,846
288,697,697,697
618,789,789,789
243,2210,2210,2210
627,98835,2209,2209
620,4410,1369,1369
244,1550,1550,1550
210,93668,2050,2050
8,2476,1276,1276
821,2172,1054,1054
479,3012,895,895
819,5391,1125,1125
441,3307,1104,1104
826,107550,2561,2561
228,71252,1103,1103
483,83342,1872,1872
477,3012,895,895
645,179223,3231,3231
221,65210,1173,1173
810,1688,1688,1688
448,2275,1293,1293
828,57069,1625,1625
226,58901,1131,1131
642,2892,2892,2892
484,63460,1915,1915
219,65208,1173,1173
817,2558,1128,1128
