Key,Total Length,After FilterPass
135,1810,40
307,822,32
61,587,64
95,1818,34
300,94,8
132,89,5
59,1035,29
92,122,5
66,140,5
104,131,6
309,805,92
50,87,15
68,135,6
103,1702,38
57,439,65
168,90,5
157,2175,90
150,88,3
159,2294,44
32,48,3
166,88,3
192,62,4
35,322,25
195,801,45
161,1825,89
102,133,5
69,1844,78
56,84,12
105,1639,80
51,322,25
308,187,12
58,47,3
133,1819,86
301,887,92
67,1380,39
93,1928,79
306,201,11
134,88,3
94,123,4
60,51,3
34,87,15
160,62,4
194,75,3
33,359,59
158,64,1
193,852,81
167,1810,40
151,1810,40
169,2196,89
156,61,4
216,80,3
229,795,82
211,801,45
227,801,45
218,55,1
220,44,2
280,185,11
274,201,11
273,817,94
287,1534,56
245,795,82
289,817,94
242,75,3
221,823,80
226,75,3
219,883,40
210,75,3
217,847,79
228,79,4
288,96,9
243,801,45
244,79,4
286,117,8
272,96,9
275,822,32
281,874,96
257,817,94
268,94,8
250,55,1
292,187,12
266,116,8
259,822,32
261,805,92
295,787,32
235,883,40
232,80,3
204,44,2
203,883,40
294,201,11
260,187,12
267,1393,30
293,805,92
258,201,11
251,883,40
256,44,2
269,887,92
202,55,1
205,823,80
233,847,79
234,55,1
174,64,1
180,89,5
20,88,13
187,2136,37
18,87,15
173,2175,90
27,1035,29
9,439,65
145,1825,89
11,1035,29
142,64,1
7,413,23
29,587,64
16,48,3
189,2175,90
129,1825,89
42,47,3
89,1639,80
116,135,6
45,587,64
111,1818,34
73,1639,80
118,133,5
87,1702,38
315,1393,30
127,1818,34
80,122,6
74,127,4
120,131,6
312,185,11
6,87,14
28,51,3
143,2294,44
17,359,59
188,61,4
144,62,4
1,359,59
10,47,3
172,61,4
186,63,1
19,322,25
26,47,3
8,84,12
181,1819,86
175,2294,44
21,492,60
75,1477,37
81,1550,82
313,874,96
121,1639,80
119,1702,38
86,133,5
72,131,6
126,123,4
314,116,8
44,51,3
110,123,4
43,1035,29
128,122,6
88,131,6
117,1840,78
198,76,2
153,2196,89
38,87,14
154,63,1
36,88,13
196,79,4
162,87,3
31,1294,37
165,1819,86
191,2294,44
131,1808,41
303,1534,56
91,1477,37
65,1550,82
304,96,9
136,90,5
62,44,2
96,122,6
109,1928,79
100,135,6
54,87,14
107,1477,37
98,140,5
138,63,1
53,492,60
30,44,2
190,64,1
164,89,5
37,492,60
163,1808,41
197,795,82
155,2136,37
199,730,46
39,413,23
152,90,5
106,127,4
99,1380,39
52,88,13
139,2136,37
101,1840,78
55,413,23
137,2196,89
305,817,94
97,1550,82
108,122,5
63,1294,37
302,117,8
130,87,3
64,48,3
90,127,4
270,117,8
284,94,8
248,80,3
283,1393,30
277,805,92
241,852,81
279,787,32
246,76,2
212,79,4
215,730,46
223,926,48
224,44,2
278,201,11
247,730,46
240,44,2
249,847,79
276,187,12
282,116,8
285,887,92
271,1534,56
225,852,81
222,56,1
214,76,2
213,795,82
231,730,46
209,852,81
236,44,2
200,80,3
238,56,1
207,926,48
253,823,80
298,116,8
254,56,1
262,201,11
296,185,11
291,822,32
265,874,96
239,926,48
206,56,1
201,847,79
208,44,2
237,823,80
230,76,2
264,185,11
290,201,11
297,874,96
263,787,32
255,926,48
252,44,2
299,1393,30
46,44,2
79,1818,34
112,122,6
320,96,9
318,117,8
41,439,65
115,1380,39
83,1380,39
77,1928,79
311,787,32
123,1477,37
48,48,3
70,133,5
84,135,6
124,122,5
316,94,8
184,90,5
170,63,1
24,84,12
177,1825,89
183,1810,40
148,89,5
23,413,23
141,2175,90
4,88,13
15,1294,37
3,322,25
146,87,3
12,51,3
179,1808,41
85,1840,78
71,1702,38
317,887,92
125,1928,79
76,122,5
82,140,5
49,359,59
122,127,4
310,201,11
40,84,12
319,1534,56
114,140,5
47,1294,37
113,1550,82
78,123,4
147,1808,41
2,87,15
178,87,3
13,587,64
5,492,60
140,61,4
14,44,2
182,88,3
176,62,4
22,87,14
149,1819,86
171,2136,37
185,2196,89
25,439,65
