TestCase,data,mapper,variantCaller,VCFLength
2,EA,BWA,Mutect,1261
8,EA,BWA,Mutect,1276
14,EA,BWA,Mutect,1293
20,EA,BWA,Mutect,1237
26,EA,BOWTIE,Mutect,1082
32,EA,BOWTIE,Mutect,1094
38,EA,BOWTIE,Mutect,1117
44,EA,BOWTIE,Mutect,1075
50,EA,BWA,Strelka,1915
56,EA,BWA,Strelka,2245
62,EA,BWA,Strelka,2343
68,EA,BWA,Strelka,1809
74,EA,BOWTIE,Strelka,1193
80,EA,BOWTIE,Strelka,1131
86,EA,BOWTIE,Strelka,1230
92,EA,BOWTIE,Strelka,1080
98,EA,BWA,SomaticSniper,1550
104,EA,BWA,SomaticSniper,1543
110,EA,BWA,SomaticSniper,1600
116,EA,BWA,SomaticSniper,1473
122,EA,BOWTIE,SomaticSniper,1211
128,EA,BOWTIE,SomaticSniper,758
134,EA,BOWTIE,SomaticSniper,1401
140,EA,BOWTIE,SomaticSniper,639
147,LL,BWA,Mutect,956
148,EA,BWA,Mutect,1261
149,LL,BWA,Mutect,956
150,NC,BWA,Mutect,1137
153,LL,BWA,Mutect,1104
154,EA,BWA,Mutect,1276
155,LL,BWA,Mutect,1104
156,NC,BWA,Mutect,1138
159,LL,BWA,Mutect,962
160,EA,BWA,Mutect,1293
161,LL,BWA,Mutect,962
162,NC,BWA,Mutect,1139
165,LL,BWA,Mutect,1023
166,EA,BWA,Mutect,1237
167,LL,BWA,Mutect,1023
168,NC,BWA,Mutect,1131
171,LL,BOWTIE,Mutect,967
172,EA,BOWTIE,Mutect,1082
173,LL,BOWTIE,Mutect,967
174,NC,BOWTIE,Mutect,1071
177,LL,BOWTIE,Mutect,968
178,EA,BOWTIE,Mutect,1094
179,LL,BOWTIE,Mutect,968
180,NC,BOWTIE,Mutect,1084
183,LL,BOWTIE,Mutect,916
184,EA,BOWTIE,Mutect,1117
185,LL,BOWTIE,Mutect,916
186,NC,BOWTIE,Mutect,1078
189,LL,BOWTIE,Mutect,895
190,EA,BOWTIE,Mutect,1075
191,LL,BOWTIE,Mutect,895
192,NC,BOWTIE,Mutect,1086
195,LL,BWA,Strelka,1872
196,EA,BWA,Strelka,1915
197,LL,BWA,Strelka,1872
198,NC,BWA,Strelka,1835
201,LL,BWA,Strelka,2055
202,EA,BWA,Strelka,2245
203,LL,BWA,Strelka,2055
204,NC,BWA,Strelka,1989
207,LL,BWA,Strelka,2122
208,EA,BWA,Strelka,2343
209,LL,BWA,Strelka,2122
210,NC,BWA,Strelka,2050
213,LL,BWA,Strelka,1817
214,EA,BWA,Strelka,1809
215,LL,BWA,Strelka,1817
216,NC,BWA,Strelka,1757
219,LL,BOWTIE,Strelka,1173
220,EA,BOWTIE,Strelka,1193
221,LL,BOWTIE,Strelka,1173
222,NC,BOWTIE,Strelka,1179
225,LL,BOWTIE,Strelka,949
226,EA,BOWTIE,Strelka,1131
227,LL,BOWTIE,Strelka,949
228,NC,BOWTIE,Strelka,1103
231,LL,BOWTIE,Strelka,1313
232,EA,BOWTIE,Strelka,1230
233,LL,BOWTIE,Strelka,1313
234,NC,BOWTIE,Strelka,1209
237,LL,BOWTIE,Strelka,838
238,EA,BOWTIE,Strelka,1080
239,LL,BOWTIE,Strelka,838
240,NC,BOWTIE,Strelka,1045
243,LL,BWA,SomaticSniper,2210
244,EA,BWA,SomaticSniper,1550
245,LL,BWA,SomaticSniper,2210
246,NC,BWA,SomaticSniper,1499
249,LL,BWA,SomaticSniper,2622
250,EA,BWA,SomaticSniper,1543
251,LL,BWA,SomaticSniper,2622
252,NC,BWA,SomaticSniper,1516
255,LL,BWA,SomaticSniper,2724
256,EA,BWA,SomaticSniper,1600
257,LL,BWA,SomaticSniper,2724
258,NC,BWA,SomaticSniper,1562
261,LL,BWA,SomaticSniper,2164
262,EA,BWA,SomaticSniper,1473
263,LL,BWA,SomaticSniper,2164
264,NC,BWA,SomaticSniper,1456
267,LL,BOWTIE,SomaticSniper,1752
268,EA,BOWTIE,SomaticSniper,1211
269,LL,BOWTIE,SomaticSniper,1752
270,NC,BOWTIE,SomaticSniper,1246
273,LL,BOWTIE,SomaticSniper,846
274,EA,BOWTIE,SomaticSniper,758
275,LL,BOWTIE,SomaticSniper,846
276,NC,BOWTIE,SomaticSniper,787
279,LL,BOWTIE,SomaticSniper,2406
280,EA,BOWTIE,SomaticSniper,1401
281,LL,BOWTIE,SomaticSniper,2406
282,NC,BOWTIE,SomaticSniper,1369
285,LL,BOWTIE,SomaticSniper,550
286,EA,BOWTIE,SomaticSniper,639
287,LL,BOWTIE,SomaticSniper,550
288,NC,BOWTIE,SomaticSniper,697
290,EA,BWA,Mutect,1261
296,EA,BWA,Mutect,1276
302,EA,BWA,Mutect,1293
308,EA,BWA,Mutect,1237
314,EA,BOWTIE,Mutect,1082
320,EA,BOWTIE,Mutect,1094
326,EA,BOWTIE,Mutect,1117
332,EA,BOWTIE,Mutect,1075
338,EA,BWA,Strelka,1915
344,EA,BWA,Strelka,2245
350,EA,BWA,Strelka,2343
356,EA,BWA,Strelka,1809
362,EA,BOWTIE,Strelka,1193
368,EA,BOWTIE,Strelka,1131
374,EA,BOWTIE,Strelka,1230
380,EA,BOWTIE,Strelka,1080
386,EA,BWA,SomaticSniper,1550
392,EA,BWA,SomaticSniper,1543
398,EA,BWA,SomaticSniper,1600
404,EA,BWA,SomaticSniper,1473
410,EA,BOWTIE,SomaticSniper,1211
416,EA,BOWTIE,SomaticSniper,758
422,EA,BOWTIE,SomaticSniper,1401
428,EA,BOWTIE,SomaticSniper,639
435,LL,BWA,Mutect,956
436,EA,BWA,Mutect,1261
437,LL,BWA,Mutect,956
438,NC,BWA,Mutect,1137
441,LL,BWA,Mutect,1104
442,EA,BWA,Mutect,1276
443,LL,BWA,Mutect,1104
444,NC,BWA,Mutect,1138
447,LL,BWA,Mutect,962
448,EA,BWA,Mutect,1293
449,LL,BWA,Mutect,962
450,NC,BWA,Mutect,1139
453,LL,BWA,Mutect,1023
454,EA,BWA,Mutect,1237
455,LL,BWA,Mutect,1023
456,NC,BWA,Mutect,1131
459,LL,BOWTIE,Mutect,967
460,EA,BOWTIE,Mutect,1082
461,LL,BOWTIE,Mutect,967
462,NC,BOWTIE,Mutect,1071
465,LL,BOWTIE,Mutect,968
466,EA,BOWTIE,Mutect,1094
467,LL,BOWTIE,Mutect,968
468,NC,BOWTIE,Mutect,1084
471,LL,BOWTIE,Mutect,916
472,EA,BOWTIE,Mutect,1117
473,LL,BOWTIE,Mutect,916
474,NC,BOWTIE,Mutect,1078
477,LL,BOWTIE,Mutect,895
478,EA,BOWTIE,Mutect,1075
479,LL,BOWTIE,Mutect,895
480,NC,BOWTIE,Mutect,1086
483,LL,BWA,Strelka,1872
484,EA,BWA,Strelka,1915
485,LL,BWA,Strelka,1872
486,NC,BWA,Strelka,1835
489,LL,BWA,Strelka,2055
490,EA,BWA,Strelka,2245
491,LL,BWA,Strelka,2055
492,NC,BWA,Strelka,1989
495,LL,BWA,Strelka,2122
496,EA,BWA,Strelka,2343
497,LL,BWA,Strelka,2122
498,NC,BWA,Strelka,2050
501,LL,BWA,Strelka,1817
502,EA,BWA,Strelka,1809
503,LL,BWA,Strelka,1817
504,NC,BWA,Strelka,1757
507,LL,BOWTIE,Strelka,1173
508,EA,BOWTIE,Strelka,1193
509,LL,BOWTIE,Strelka,1173
510,NC,BOWTIE,Strelka,1179
513,LL,BOWTIE,Strelka,949
514,EA,BOWTIE,Strelka,1131
515,LL,BOWTIE,Strelka,949
516,NC,BOWTIE,Strelka,1103
519,LL,BOWTIE,Strelka,1313
520,EA,BOWTIE,Strelka,1230
521,LL,BOWTIE,Strelka,1313
522,NC,BOWTIE,Strelka,1209
525,LL,BOWTIE,Strelka,838
526,EA,BOWTIE,Strelka,1080
527,LL,BOWTIE,Strelka,838
528,NC,BOWTIE,Strelka,1045
531,LL,BWA,SomaticSniper,2210
532,EA,BWA,SomaticSniper,1550
533,LL,BWA,SomaticSniper,2210
534,NC,BWA,SomaticSniper,1499
537,LL,BWA,SomaticSniper,2622
538,EA,BWA,SomaticSniper,1543
539,LL,BWA,SomaticSniper,2622
540,NC,BWA,SomaticSniper,1516
543,LL,BWA,SomaticSniper,2724
544,EA,BWA,SomaticSniper,1600
545,LL,BWA,SomaticSniper,2724
546,NC,BWA,SomaticSniper,1562
549,LL,BWA,SomaticSniper,2164
550,EA,BWA,SomaticSniper,1473
551,LL,BWA,SomaticSniper,2164
552,NC,BWA,SomaticSniper,1456
555,LL,BOWTIE,SomaticSniper,1752
556,EA,BOWTIE,SomaticSniper,1211
557,LL,BOWTIE,SomaticSniper,1752
558,NC,BOWTIE,SomaticSniper,1246
561,LL,BOWTIE,SomaticSniper,846
562,EA,BOWTIE,SomaticSniper,758
563,LL,BOWTIE,SomaticSniper,846
564,NC,BOWTIE,SomaticSniper,787
567,LL,BOWTIE,SomaticSniper,2406
568,EA,BOWTIE,SomaticSniper,1401
569,LL,BOWTIE,SomaticSniper,2406
570,NC,BOWTIE,SomaticSniper,1369
573,LL,BOWTIE,SomaticSniper,550
574,EA,BOWTIE,SomaticSniper,639
575,LL,BOWTIE,SomaticSniper,550
576,NC,BOWTIE,SomaticSniper,697
577,FD,BWA,Mutect,1290
578,FD,BOWTIE,Mutect,1006
579,FD,BWA,Strelka,2209
580,FD,BOWTIE,Strelka,1242
581,FD,BWA,SomaticSniper,2227
582,FD,BOWTIE,SomaticSniper,1767
583,FD,BWA,Mutect,1290
584,FD,BOWTIE,Mutect,1006
585,FD,BWA,Strelka,2209
586,FD,BOWTIE,Strelka,1242
587,FD,BWA,SomaticSniper,2227
588,FD,BOWTIE,SomaticSniper,1767
589,FD,BWA,Mutect,1378
590,FD,BOWTIE,Mutect,1073
591,FD,BWA,Strelka,3231
592,FD,BOWTIE,Strelka,1422
593,FD,BWA,SomaticSniper,3299
594,FD,BOWTIE,SomaticSniper,2892
595,FD,BWA,Mutect,1378
596,FD,BOWTIE,Mutect,1073
597,FD,BWA,Strelka,3231
598,FD,BOWTIE,Strelka,1422
599,FD,BWA,SomaticSniper,3299
600,FD,BOWTIE,SomaticSniper,2892
601,FD,BWA,Mutect,1400
602,FD,BOWTIE,Mutect,1086
603,FD,BWA,Strelka,2182
604,FD,BOWTIE,Strelka,889
605,FD,BWA,SomaticSniper,2183
606,FD,BOWTIE,SomaticSniper,377
607,FD,BWA,Mutect,1400
608,FD,BOWTIE,Mutect,1086
609,FD,BWA,Strelka,2182
610,FD,BOWTIE,Strelka,889
611,FD,BWA,SomaticSniper,2183
612,FD,BOWTIE,SomaticSniper,377
613,FD,BWA,Mutect,1504
614,FD,BOWTIE,Mutect,1369
615,FD,BWA,Strelka,3274
616,FD,BOWTIE,Strelka,1048
617,FD,BWA,SomaticSniper,3110
618,FD,BOWTIE,SomaticSniper,789
619,FD,BWA,Mutect,1504
620,FD,BOWTIE,Mutect,1369
621,FD,BWA,Strelka,3274
622,FD,BOWTIE,Strelka,1048
623,FD,BWA,SomaticSniper,3110
624,FD,BOWTIE,SomaticSniper,789
625,FD,BWA,Mutect,1290
626,FD,BOWTIE,Mutect,1006
627,FD,BWA,Strelka,2209
628,FD,BOWTIE,Strelka,1242
629,FD,BWA,SomaticSniper,2227
630,FD,BOWTIE,SomaticSniper,1767
631,FD,BWA,Mutect,1290
632,FD,BOWTIE,Mutect,1006
633,FD,BWA,Strelka,2209
634,FD,BOWTIE,Strelka,1242
635,FD,BWA,SomaticSniper,2227
636,FD,BOWTIE,SomaticSniper,1767
637,FD,BWA,Mutect,1378
638,FD,BOWTIE,Mutect,1073
639,FD,BWA,Strelka,3231
640,FD,BOWTIE,Strelka,1422
641,FD,BWA,SomaticSniper,3299
642,FD,BOWTIE,SomaticSniper,2892
643,FD,BWA,Mutect,1378
644,FD,BOWTIE,Mutect,1073
645,FD,BWA,Strelka,3231
646,FD,BOWTIE,Strelka,1422
647,FD,BWA,SomaticSniper,3299
648,FD,BOWTIE,SomaticSniper,2892
649,FD,BWA,Mutect,1400
650,FD,BOWTIE,Mutect,1086
651,FD,BWA,Strelka,2182
652,FD,BOWTIE,Strelka,889
653,FD,BWA,SomaticSniper,2183
654,FD,BOWTIE,SomaticSniper,377
655,FD,BWA,Mutect,1400
656,FD,BOWTIE,Mutect,1086
657,FD,BWA,Strelka,2182
658,FD,BOWTIE,Strelka,889
659,FD,BWA,SomaticSniper,2183
660,FD,BOWTIE,SomaticSniper,377
661,FD,BWA,Mutect,1504
662,FD,BOWTIE,Mutect,1369
663,FD,BWA,Strelka,3274
664,FD,BOWTIE,Strelka,1048
665,FD,BWA,SomaticSniper,3110
666,FD,BOWTIE,SomaticSniper,789
667,FD,BWA,Mutect,1504
668,FD,BOWTIE,Mutect,1369
669,FD,BWA,Strelka,3274
670,FD,BOWTIE,Strelka,1048
671,FD,BWA,SomaticSniper,3110
672,FD,BOWTIE,SomaticSniper,789
721,NC,BWA,Mutect,1137
722,NC,BOWTIE,Mutect,1071
723,NC,BWA,Strelka,1835
724,NC,BOWTIE,Strelka,1179
725,NC,BWA,SomaticSniper,1499
726,NC,BOWTIE,SomaticSniper,1246
727,NC,BWA,Mutect,1137
728,NC,BOWTIE,Mutect,1071
729,NC,BWA,Strelka,1835
730,NC,BOWTIE,Strelka,1179
731,NC,BWA,SomaticSniper,1499
732,NC,BOWTIE,SomaticSniper,1246
733,NC,BWA,Mutect,1139
734,NC,BOWTIE,Mutect,1078
735,NC,BWA,Strelka,2050
736,NC,BOWTIE,Strelka,1209
737,NC,BWA,SomaticSniper,1562
738,NC,BOWTIE,SomaticSniper,1369
739,NC,BWA,Mutect,1139
740,NC,BOWTIE,Mutect,1078
741,NC,BWA,Strelka,2050
742,NC,BOWTIE,Strelka,1209
743,NC,BWA,SomaticSniper,1562
744,NC,BOWTIE,SomaticSniper,1369
745,NC,BWA,Mutect,1131
746,NC,BOWTIE,Mutect,1086
747,NC,BWA,Strelka,1757
748,NC,BOWTIE,Strelka,1045
749,NC,BWA,SomaticSniper,1456
750,NC,BOWTIE,SomaticSniper,697
751,NC,BWA,Mutect,1131
752,NC,BOWTIE,Mutect,1086
753,NC,BWA,Strelka,1757
754,NC,BOWTIE,Strelka,1045
755,NC,BWA,SomaticSniper,1456
756,NC,BOWTIE,SomaticSniper,697
757,NC,BWA,Mutect,1138
758,NC,BOWTIE,Mutect,1084
759,NC,BWA,Strelka,1989
760,NC,BOWTIE,Strelka,1103
761,NC,BWA,SomaticSniper,1516
762,NC,BOWTIE,SomaticSniper,787
763,NC,BWA,Mutect,1138
764,NC,BOWTIE,Mutect,1084
765,NC,BWA,Strelka,1989
766,NC,BOWTIE,Strelka,1103
767,NC,BWA,SomaticSniper,1516
768,NC,BOWTIE,SomaticSniper,787
769,IL,BWA,Mutect,1128
770,IL,BWA,Mutect,1125
771,IL,BWA,Mutect,1125
772,IL,BWA,Mutect,1132
773,IL,BOWTIE,Mutect,1054
774,IL,BOWTIE,Mutect,1043
775,IL,BOWTIE,Mutect,1051
776,IL,BOWTIE,Mutect,1039
777,IL,BWA,Strelka,1711
778,IL,BWA,Strelka,2561
779,IL,BWA,Strelka,2601
780,IL,BWA,Strelka,1625
781,IL,BOWTIE,Strelka,1153
782,IL,BOWTIE,Strelka,1136
783,IL,BOWTIE,Strelka,1199
784,IL,BOWTIE,Strelka,1076
785,IL,BWA,SomaticSniper,1469
786,IL,BWA,SomaticSniper,1688
787,IL,BWA,SomaticSniper,1671
788,IL,BWA,SomaticSniper,1440
789,IL,BOWTIE,SomaticSniper,1081
790,IL,BOWTIE,SomaticSniper,832
791,IL,BOWTIE,SomaticSniper,1357
792,IL,BOWTIE,SomaticSniper,680
793,IL,BWA,Mutect,1128
794,IL,BWA,Mutect,1125
795,IL,BWA,Mutect,1125
796,IL,BWA,Mutect,1132
797,IL,BOWTIE,Mutect,1054
798,IL,BOWTIE,Mutect,1043
799,IL,BOWTIE,Mutect,1051
800,IL,BOWTIE,Mutect,1039
801,IL,BWA,Strelka,1711
802,IL,BWA,Strelka,2561
803,IL,BWA,Strelka,2601
804,IL,BWA,Strelka,1625
805,IL,BOWTIE,Strelka,1153
806,IL,BOWTIE,Strelka,1136
807,IL,BOWTIE,Strelka,1199
808,IL,BOWTIE,Strelka,1076
809,IL,BWA,SomaticSniper,1469
810,IL,BWA,SomaticSniper,1688
811,IL,BWA,SomaticSniper,1671
812,IL,BWA,SomaticSniper,1440
813,IL,BOWTIE,SomaticSniper,1081
814,IL,BOWTIE,SomaticSniper,832
815,IL,BOWTIE,SomaticSniper,1357
816,IL,BOWTIE,SomaticSniper,680
