TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,TMB,FileLink,Result VCF Count,Author,Slurm_id,Node,ElapsedTime
TestCase 2,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,15.613695238895232,https://drive.google.com/drive/folders/11CFGjNSahIPeM0WqvGEZBq6zYFTHYqzr?usp=share_link,1261,GUL EDA,29812.0,a047,07:15:00
TestCase 8,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,15.79942515846972,https://drive.google.com/drive/folders/1I7r5auf-01mBb5E81M3vnwWO5hhO57_A?usp=share_link,1276,GUL EDA,29812.0,a047,06:12:47
TestCase 14,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,16.009919067320805,https://drive.google.com/drive/folders/1AN-msyirHOlOLsEJw3aQvahPv7-WIHb4?usp=share_link,1293,GUL EDA,29812.0,a047,05:48:51
TestCase 20,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,15.316527367576054,https://drive.google.com/drive/folders/1hhxI843QwDE_C5vWoE95TZEbqyrPCDxI?usp=share_link,1237,GUL EDA,29812.0,a047,07:44:08
TestCase 26,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,13.397318198639686,https://drive.google.com/drive/folders/1sxq7kOYyoJGVYZpGmMiVBBmzpY1V9O3x?usp=share_link,1082,GUL EDA,29811.0,a078,07:36:41
TestCase 32,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,13.545902134299276,https://drive.google.com/drive/folders/1aU_EFnpEGsQl02cL6ELI2R5hFVKmsCPi?usp=share_link,1094,GUL EDA,29811.0,a078,09:57:30
TestCase 38,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,13.830688010980156,https://drive.google.com/drive/folders/1Zi72RDijNlg8DTq2227rQg_BSB9bX3IJ?usp=share_link,1117,GUL EDA,29811.0,a078,06:05:48
TestCase 44,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,13.310644236171589,https://drive.google.com/drive/folders/1L-ZfgLUOT5PqOLsIgdk571EDIKnel0Rx?usp=share_link,1075,GUL EDA,29811.0,a078,10:37:11
TestCase 50,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,23.71151973234288,https://drive.google.com/drive/folders/1RmzNj56Cp0K7TJBPOH6Q7L88h3lWEk9Q?usp=share_link,1915,GUL EDA,29813.0,a063,03:34:43
TestCase 56,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,27.797577962981602,https://drive.google.com/drive/folders/1UAhDecOaz4vsT722b4TvMP5zEKeWdGjE?usp=share_link,2245,GUL EDA,29813.0,a063,01:39:41
TestCase 62,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,29.011013437534924,https://drive.google.com/drive/folders/15VRG0zszZMMAIGL_xQs1KaZDEVJSMBUx?usp=share_link,2343,GUL EDA,29813.0,a063,02:00:07
TestCase 68,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,22.39902830068317,https://drive.google.com/drive/folders/1zmPBirxM8-5lCzr8op6O_jMSKHbVa0WX?usp=share_link,1809,GUL EDA,29813.0,a063,03:23:03
TestCase 74,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,14.771719603490892,https://drive.google.com/drive/folders/1du0tSwKEvX-OJGSmb10NVjeSd6nZlYoS?usp=share_link,1193,GUL EDA,29810.0,a076,04:14:42
TestCase 80,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,14.004035935916344,https://drive.google.com/drive/folders/14i1KXkyuAFQC_vSfzDfXwI9V3DSd3EcP?usp=share_link,1131,GUL EDA,29810.0,a076,02:19:51
TestCase 86,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,15.229853405107956,https://drive.google.com/drive/folders/1X1OvI85JdMUE9OKO3eqy33ZcqztXDglP?usp=share_link,1230,GUL EDA,29810.0,a076,02:29:00
TestCase 92,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,13.372554209363086,https://drive.google.com/drive/folders/18UgGLTMly_ck00MAYK6ZJ0xGRVhecGLA?usp=share_link,1080,GUL EDA,29810.0,a076,03:57:32
TestCase 98,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,19.192091689363686,https://drive.google.com/drive/folders/1gSBVQkJiWYWyylBvYCvAAMQNOEUNjBkx?usp=share_link,1550,GUL EDA,29814.0,a041,03:56:22
TestCase 104,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,19.105417726895595,https://drive.google.com/drive/folders/1FPivop-LSA7K2-C5yi9kOPHyR5wCUZHP?usp=share_link,1543,GUL EDA,29814.0,a041,02:03:55
TestCase 110,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,19.811191421278647,https://drive.google.com/drive/folders/1mcioFtr2bfHCVV-FEBglHffw_MIBH8vb?usp=share_link,1600,GUL EDA,29814.0,a041,02:22:27
TestCase 116,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,18.238678102214653,https://drive.google.com/drive/folders/15DFnlF183CbHS1R_hYPDIEq2zjuU3Y3X?usp=share_link,1473,GUL EDA,29814.0,a041,03:46:40
