isTrimmed,baseRecalibration,Mapper,VariantCaller,ReferenceGenom,Duplicates
YES,YES,BWA,Mutect,hg38,MARK
NO,NO,BWA,Mutect,hg38,MARK
YES,NO,BWA,Mutect,hg38,MARK
NO,YES,BWA,Mutect,hg38,MARK
YES,YES,BOWTIE,Mutect,hg38,MARK
NO,NO,BOWTIE,Mutect,hg38,MARK
YES,NO,BOWTIE,Mutect,hg38,MARK
NO,YES,BOWTIE,Mutect,hg38,MARK
YES,YES,BWA,Strelka,hg38,MARK
NO,NO,BWA,Strelka,hg38,MARK
YES,NO,BWA,Strelka,hg38,MARK
NO,YES,BWA,Strelka,hg38,MARK
YES,YES,BOWTIE,Strelka,hg38,MARK
NO,NO,BOWTIE,Strelka,hg38,MARK
YES,NO,BOWTIE,Strelka,hg38,MARK
NO,YES,BOWTIE,Strelka,hg38,MARK
YES,YES,BWA,SomaticSniper,hg38,MARK
NO,NO,BWA,SomaticSniper,hg38,MARK
YES,NO,BWA,SomaticSniper,hg38,MARK
NO,YES,BWA,SomaticSniper,hg38,MARK
YES,YES,BOWTIE,SomaticSniper,hg38,MARK
NO,NO,BOWTIE,SomaticSniper,hg38,MARK
YES,NO,BOWTIE,SomaticSniper,hg38,MARK
NO,YES,BOWTIE,SomaticSniper,hg38,MARK
YES,YES,BWA,Mutect,hg38,MARK
YES,YES,BWA,Mutect,hg38,MARK
YES,YES,BWA,Mutect,hg38,MARK
YES,YES,BWA,Mutect,hg38,MARK
NO,NO,BWA,Mutect,hg38,MARK
NO,NO,BWA,Mutect,hg38,MARK
NO,NO,BWA,Mutect,hg38,MARK
NO,NO,BWA,Mutect,hg38,MARK
YES,NO,BWA,Mutect,hg38,MARK
YES,NO,BWA,Mutect,hg38,MARK
YES,NO,BWA,Mutect,hg38,MARK
YES,NO,BWA,Mutect,hg38,MARK
NO,YES,BWA,Mutect,hg38,MARK
NO,YES,BWA,Mutect,hg38,MARK
NO,YES,BWA,Mutect,hg38,MARK
NO,YES,BWA,Mutect,hg38,MARK
YES,YES,BOWTIE,Mutect,hg38,MARK
YES,YES,BOWTIE,Mutect,hg38,MARK
YES,YES,BOWTIE,Mutect,hg38,MARK
YES,YES,BOWTIE,Mutect,hg38,MARK
NO,NO,BOWTIE,Mutect,hg38,MARK
NO,NO,BOWTIE,Mutect,hg38,MARK
NO,NO,BOWTIE,Mutect,hg38,MARK
NO,NO,BOWTIE,Mutect,hg38,MARK
YES,NO,BOWTIE,Mutect,hg38,MARK
YES,NO,BOWTIE,Mutect,hg38,MARK
YES,NO,BOWTIE,Mutect,hg38,MARK
YES,NO,BOWTIE,Mutect,hg38,MARK
NO,YES,BOWTIE,Mutect,hg38,MARK
NO,YES,BOWTIE,Mutect,hg38,MARK
NO,YES,BOWTIE,Mutect,hg38,MARK
NO,YES,BOWTIE,Mutect,hg38,MARK
YES,YES,BWA,Strelka,hg38,MARK
YES,YES,BWA,Strelka,hg38,MARK
YES,YES,BWA,Strelka,hg38,MARK
YES,YES,BWA,Strelka,hg38,MARK
NO,NO,BWA,Strelka,hg38,MARK
NO,NO,BWA,Strelka,hg38,MARK
NO,NO,BWA,Strelka,hg38,MARK
NO,NO,BWA,Strelka,hg38,MARK
YES,NO,BWA,Strelka,hg38,MARK
YES,NO,BWA,Strelka,hg38,MARK
YES,NO,BWA,Strelka,hg38,MARK
YES,NO,BWA,Strelka,hg38,MARK
NO,YES,BWA,Strelka,hg38,MARK
NO,YES,BWA,Strelka,hg38,MARK
NO,YES,BWA,Strelka,hg38,MARK
NO,YES,BWA,Strelka,hg38,MARK
YES,YES,BOWTIE,Strelka,hg38,MARK
YES,YES,BOWTIE,Strelka,hg38,MARK
YES,YES,BOWTIE,Strelka,hg38,MARK
YES,YES,BOWTIE,Strelka,hg38,MARK
NO,NO,BOWTIE,Strelka,hg38,MARK
NO,NO,BOWTIE,Strelka,hg38,MARK
NO,NO,BOWTIE,Strelka,hg38,MARK
NO,NO,BOWTIE,Strelka,hg38,MARK
YES,NO,BOWTIE,Strelka,hg38,MARK
YES,NO,BOWTIE,Strelka,hg38,MARK
YES,NO,BOWTIE,Strelka,hg38,MARK
YES,NO,BOWTIE,Strelka,hg38,MARK
NO,YES,BOWTIE,Strelka,hg38,MARK
NO,YES,BOWTIE,Strelka,hg38,MARK
NO,YES,BOWTIE,Strelka,hg38,MARK
NO,YES,BOWTIE,Strelka,hg38,MARK
YES,YES,BWA,SomaticSniper,hg38,MARK
YES,YES,BWA,SomaticSniper,hg38,MARK
YES,YES,BWA,SomaticSniper,hg38,MARK
YES,YES,BWA,SomaticSniper,hg38,MARK
NO,NO,BWA,SomaticSniper,hg38,MARK
NO,NO,BWA,SomaticSniper,hg38,MARK
NO,NO,BWA,SomaticSniper,hg38,MARK
NO,NO,BWA,SomaticSniper,hg38,MARK
YES,NO,BWA,SomaticSniper,hg38,MARK
YES,NO,BWA,SomaticSniper,hg38,MARK
YES,NO,BWA,SomaticSniper,hg38,MARK
YES,NO,BWA,SomaticSniper,hg38,MARK
NO,YES,BWA,SomaticSniper,hg38,MARK
NO,YES,BWA,SomaticSniper,hg38,MARK
NO,YES,BWA,SomaticSniper,hg38,MARK
NO,YES,BWA,SomaticSniper,hg38,MARK
YES,YES,BOWTIE,SomaticSniper,hg38,MARK
YES,YES,BOWTIE,SomaticSniper,hg38,MARK
YES,YES,BOWTIE,SomaticSniper,hg38,MARK
YES,YES,BOWTIE,SomaticSniper,hg38,MARK
NO,NO,BOWTIE,SomaticSniper,hg38,MARK
