TestCase,data,mapper,variantCaller,VCFLength
1,LL,BWA,Mutect,0
2,LL,BWA,Strelka,0
3,LL,Bowtie,Mutect,0
4,LL,Bowtie,Strelka,0
5,LL,BWA,Mutect,0
6,LL,BWA,Strelka,0
7,LL,Bowtie,Mutect,0
8,LL,Bowtie,Strelka,0
9,LL,BWA,Mutect,0
10,LL,BWA,Strelka,0
11,LL,Bowtie,Mutect,0
12,LL,Bowtie,Strelka,0
13,LL,BWA,Mutect,0
14,LL,BWA,Strelka,0
15,LL,Bowtie,Mutect,0
16,LL,Bowtie,Strelka,0
17,LL,BWA,Mutect,0
18,LL,BWA,Strelka,0
19,LL,Bowtie,Mutect,0
20,LL,Bowtie,Strelka,0
21,LL,BWA,Mutect,0
22,LL,BWA,Strelka,0
23,LL,Bowtie,Mutect,0
24,LL,Bowtie,Strelka,0
25,LL,BWA,Mutect,0
26,LL,BWA,Strelka,0
27,LL,Bowtie,Mutect,0
28,LL,Bowtie,Strelka,0
29,LL,BWA,Mutect,0
30,LL,BWA,Strelka,0
31,LL,Bowtie,Mutect,0
32,LL,Bowtie,Strelka,0
33,LL,BWA,Mutect,0
34,LL,BWA,Strelka,0
35,LL,Bowtie,Mutect,0
36,LL,Bowtie,Strelka,0
37,LL,BWA,Mutect,0
38,LL,BWA,Strelka,0
39,LL,Bowtie,Mutect,0
40,LL,Bowtie,Strelka,0
41,LL,BWA,Mutect,0
42,LL,BWA,Strelka,0
43,LL,Bowtie,Mutect,0
44,LL,Bowtie,Strelka,0
45,LL,BWA,Mutect,0
46,LL,BWA,Strelka,0
47,LL,Bowtie,Mutect,0
48,LL,Bowtie,Strelka,0
49,LL,BWA,Mutect,0
50,LL,BWA,Strelka,0
51,LL,Bowtie,Mutect,0
52,LL,Bowtie,Strelka,0
53,LL,BWA,Mutect,0
54,LL,BWA,Strelka,0
55,LL,Bowtie,Mutect,0
56,LL,Bowtie,Strelka,0
57,LL,BWA,Mutect,0
58,LL,BWA,Strelka,0
59,LL,Bowtie,Mutect,0
60,LL,Bowtie,Strelka,0
61,LL,BWA,Mutect,0
62,LL,BWA,Strelka,0
63,LL,Bowtie,Mutect,0
64,LL,Bowtie,Strelka,0
65,IL,BWA,Mutect,0
66,IL,BWA,Strelka,0
67,IL,Bowtie,Mutect,0
68,IL,Bowtie,Strelka,0
69,IL,BWA,Mutect,0
70,IL,BWA,Strelka,0
71,IL,Bowtie,Mutect,0
72,IL,Bowtie,Strelka,0
73,IL,BWA,Mutect,0
74,IL,BWA,Strelka,0
75,IL,Bowtie,Mutect,0
76,IL,Bowtie,Strelka,0
77,IL,BWA,Mutect,0
78,IL,BWA,Strelka,0
79,IL,Bowtie,Mutect,0
80,IL,Bowtie,Strelka,0
81,IL,BWA,Mutect,0
82,IL,BWA,Strelka,0
83,IL,Bowtie,Mutect,0
84,IL,Bowtie,Strelka,0
85,IL,BWA,Mutect,0
86,IL,BWA,Strelka,0
87,IL,Bowtie,Mutect,0
88,IL,Bowtie,Strelka,0
89,IL,BWA,Mutect,0
90,IL,BWA,Strelka,0
91,IL,Bowtie,Mutect,0
92,IL,Bowtie,Strelka,0
93,IL,BWA,Mutect,0
94,IL,BWA,Strelka,0
95,IL,Bowtie,Mutect,0
96,IL,Bowtie,Strelka,0
97,IL,BWA,Mutect,0
98,IL,BWA,Strelka,0
99,IL,Bowtie,Mutect,0
100,IL,Bowtie,Strelka,0
101,IL,BWA,Mutect,0
102,IL,BWA,Strelka,0
103,IL,Bowtie,Mutect,0
104,IL,Bowtie,Strelka,0
105,IL,BWA,Mutect,0
106,IL,BWA,Strelka,0
107,IL,Bowtie,Mutect,0
108,IL,Bowtie,Strelka,0
109,IL,BWA,Mutect,0
110,IL,BWA,Strelka,0
111,IL,Bowtie,Mutect,0
112,IL,Bowtie,Strelka,0
113,IL,BWA,Mutect,0
114,IL,BWA,Strelka,0
115,IL,Bowtie,Mutect,0
116,IL,Bowtie,Strelka,0
117,IL,BWA,Mutect,0
118,IL,BWA,Strelka,0
119,IL,Bowtie,Mutect,0
120,IL,Bowtie,Strelka,0
121,IL,BWA,Mutect,0
122,IL,BWA,Strelka,0
123,IL,Bowtie,Mutect,0
124,IL,Bowtie,Strelka,0
125,IL,BWA,Mutect,0
126,IL,BWA,Strelka,0
127,IL,Bowtie,Mutect,0
128,IL,Bowtie,Strelka,0
129,EA,BWA,Mutect,0
130,EA,BWA,Strelka,0
131,EA,Bowtie,Mutect,0
132,EA,Bowtie,Strelka,0
133,EA,BWA,Mutect,0
134,EA,BWA,Strelka,0
135,EA,Bowtie,Mutect,0
136,EA,Bowtie,Strelka,0
137,EA,BWA,Mutect,0
138,EA,BWA,Strelka,0
139,EA,Bowtie,Mutect,0
140,EA,Bowtie,Strelka,0
141,EA,BWA,Mutect,0
142,EA,BWA,Strelka,0
143,EA,Bowtie,Mutect,0
144,EA,Bowtie,Strelka,0
145,EA,BWA,Mutect,0
146,EA,BWA,Strelka,0
147,EA,Bowtie,Mutect,0
148,EA,Bowtie,Strelka,0
149,EA,BWA,Mutect,0
150,EA,BWA,Strelka,0
151,EA,Bowtie,Mutect,0
152,EA,Bowtie,Strelka,0
153,EA,BWA,Mutect,0
154,EA,BWA,Strelka,0
155,EA,Bowtie,Mutect,0
156,EA,Bowtie,Strelka,0
157,EA,BWA,Mutect,0
158,EA,BWA,Strelka,0
159,EA,Bowtie,Mutect,0
