TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :),Slurm_id,Donanım,ElapsedTime
TestCase 1,notReady,LL,Linux,Local,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 2,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/11CFGjNSahIPeM0WqvGEZBq6zYFTHYqzr?usp=share_link,,GUL EDA,29812,a047,07:15:00
TestCase 3,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 4,notReady,LL,MAC,Local,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 5,notReady,LL,,Altay + COSAP,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 6,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 7,notReady,LL,Linux,Local,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 8,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1I7r5auf-01mBb5E81M3vnwWO5hhO57_A?usp=share_link,,GUL EDA,29812,a047,06:12:47
TestCase 9,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 10,notReady,LL,MAC,Local,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 11,notReady,LL,,Altay + COSAP,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 12,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 13,notReady,LL,Linux,Local,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 14,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1AN-msyirHOlOLsEJw3aQvahPv7-WIHb4?usp=share_link,,GUL EDA,29812,a047,05:48:51
TestCase 15,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 16,notReady,LL,MAC,Local,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 17,notReady,LL,,Altay + COSAP,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 18,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 19,notReady,LL,Linux,Local,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 20,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1hhxI843QwDE_C5vWoE95TZEbqyrPCDxI?usp=share_link,,GUL EDA,29812,a047,07:44:08
TestCase 21,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 22,notReady,LL,MAC,Local,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 23,notReady,LL,,Altay + COSAP,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 24,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 25,notReady,LL,Linux,Local,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 26,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1sxq7kOYyoJGVYZpGmMiVBBmzpY1V9O3x?usp=share_link,,GUL EDA,29811,a078,07:36:41
TestCase 27,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 28,notReady,LL,MAC,Local,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 29,notReady,LL,,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 30,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 31,notReady,LL,Linux,Local,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 32,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1aU_EFnpEGsQl02cL6ELI2R5hFVKmsCPi?usp=share_link,,GUL EDA,29811,a078,09:57:30
TestCase 33,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 34,notReady,LL,MAC,Local,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 35,notReady,LL,,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 36,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 37,notReady,LL,Linux,Local,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 38,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Zi72RDijNlg8DTq2227rQg_BSB9bX3IJ?usp=share_link,,GUL EDA,29811,a078,06:05:48
TestCase 39,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 40,notReady,LL,MAC,Local,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 41,notReady,LL,,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 42,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 43,notReady,LL,Linux,Local,NO,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 44,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1L-ZfgLUOT5PqOLsIgdk571EDIKnel0Rx?usp=share_link,,GUL EDA,29811,a078,10:37:11
TestCase 45,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 46,notReady,LL,MAC,Local,NO,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 47,notReady,LL,,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 48,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 49,notReady,LL,Linux,Local,YES,YES,BWA,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 50,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1RmzNj56Cp0K7TJBPOH6Q7L88h3lWEk9Q?usp=share_link,,GUL EDA,29813,a063,03:34:43
