IDs,phase,Sample,HOW,isTrimmed,baseRecalibration,Mapper,Variant Caller,Duplicates,File Link,Result VCF Count,Kim yaptı :),Notes:
TestCase 1,done,LL,Uhem + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1wBcuLv7RU0GfFAcL9bPkTo-8QPMMWf_s?usp=sharing,,Gül Eda,
TestCase 2,done,LL,Uhem + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1IpGEQ-YaKQ7lI1rdgo3FogSYo5S9qswU?usp=sharing,,Gül Eda,
TestCase 3,done,LL,Uhem + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1d4D9UCPsZWXXdAutIIZLwBu7tw-lzWca?usp=sharing,,Gül Eda,
TestCase 4,done,LL,Uhem + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1Ei63_FOSKjN8npkNBeY-UEucscDRqIqW?usp=sharing,,Gül Eda,
TestCase 5,done,LL,Uhem + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1UB4I9TDDdipdLsiluePQCxXcPBcDe-cS?usp=sharing,,Gül Eda,
TestCase 6,done,LL,Uhem + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1zMMrpFixLouAdPQuC11qzI05QnMLpYdW?usp=sharing,,Gül Eda,
TestCase 7,done,LL,Uhem + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/12Cd2n0Y5JVqoRsYvnp5RBBsVFDXvQ1gq?usp=sharing,,Gül Eda,
TestCase 8,done,LL,Uhem + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1tIl-qKzGRqHxAmC4oUJa_gMUYJhBoKV6?usp=sharing,,Gül Eda,
TestCase 9,done,LL,Uhem + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1TZho1d8APPhMKSu2T2fwH2X3ArRgqZT2?usp=sharing,,Gül Eda,
TestCase 10,done,LL,Uhem + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1Rl3_fLz5rxQ0O764BtrdAkchXOwp-uoZ?usp=sharing,,Gül Eda,
TestCase 11,done,LL,Uhem + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/195RYDCCPja04ttRhqPw3vYjE6SaFtjBP?usp=sharing,,Gül Eda,
TestCase 12,done,LL,Uhem + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/10qhp1aqbOwQBHQ8dFcLukDRY3r3sF0fh?usp=sharing,,Gül Eda,
TestCase 13,done,LL,Uhem + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1GrC8nC-Nmtyn-AnWW2IgCfl30iLi_H38?usp=sharing,,Gül Eda,
