run,TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,FileLink,Author,Slurm_id,Node,ElapsedTime,vcf_relpath
2,2,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/11CFGjNSahIPeM0WqvGEZBq6zYFTHYqzr?usp=share_link,GUL EDA,29812.0,a047,07:15:00,vcf/TESTCASES_bedded/TestCase 2/snp_SRR7890919_bwa2-SRR7890918_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
8,8,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1I7r5auf-01mBb5E81M3vnwWO5hhO57_A?usp=share_link,GUL EDA,29812.0,a047,06:12:47,vcf/TESTCASES_bedded/TestCase 8/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_mutect.vcf.secondbed.vcf.recode.vcf
14,14,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1AN-msyirHOlOLsEJw3aQvahPv7-WIHb4?usp=share_link,GUL EDA,29812.0,a047,05:48:51,vcf/TESTCASES_bedded/TestCase 14/snp_SRR7890919_bwa2-SRR7890918_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
20,20,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1hhxI843QwDE_C5vWoE95TZEbqyrPCDxI?usp=share_link,GUL EDA,29812.0,a047,07:44:08,vcf/TESTCASES_bedded/TestCase 20/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_mutect.vcf.secondbed.vcf.recode.vcf
26,26,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1sxq7kOYyoJGVYZpGmMiVBBmzpY1V9O3x?usp=share_link,GUL EDA,29811.0,a078,07:36:41,vcf/TESTCASES_bedded/TestCase 26/snp_SRR7890919_bowtie-SRR7890918_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
32,32,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1aU_EFnpEGsQl02cL6ELI2R5hFVKmsCPi?usp=share_link,GUL EDA,29811.0,a078,09:57:30,vcf/TESTCASES_bedded/TestCase 32/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_mutect.vcf.secondbed.vcf.recode.vcf
38,38,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Zi72RDijNlg8DTq2227rQg_BSB9bX3IJ?usp=share_link,GUL EDA,29811.0,a078,06:05:48,vcf/TESTCASES_bedded/TestCase 38/snp_SRR7890919_bowtie-SRR7890918_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
44,44,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1L-ZfgLUOT5PqOLsIgdk571EDIKnel0Rx?usp=share_link,GUL EDA,29811.0,a078,10:37:11,vcf/TESTCASES_bedded/TestCase 44/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_mutect.vcf.secondbed.vcf.recode.vcf
50,50,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1RmzNj56Cp0K7TJBPOH6Q7L88h3lWEk9Q?usp=share_link,GUL EDA,29813.0,a063,03:34:43,vcf/TESTCASES_bedded/TestCase 50/snp_SRR7890919_bwa2-SRR7890918_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
56,56,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1UAhDecOaz4vsT722b4TvMP5zEKeWdGjE?usp=share_link,GUL EDA,29813.0,a063,01:39:41,vcf/TESTCASES_bedded/TestCase 56/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_strelka.vcf.secondbed.vcf.recode.vcf
62,62,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/15VRG0zszZMMAIGL_xQs1KaZDEVJSMBUx?usp=share_link,GUL EDA,29813.0,a063,02:00:07,vcf/TESTCASES_bedded/TestCase 62/snp_SRR7890919_bwa2-SRR7890918_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
68,68,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1zmPBirxM8-5lCzr8op6O_jMSKHbVa0WX?usp=share_link,GUL EDA,29813.0,a063,03:23:03,vcf/TESTCASES_bedded/TestCase 68/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_strelka.vcf.secondbed.vcf.recode.vcf
74,74,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1du0tSwKEvX-OJGSmb10NVjeSd6nZlYoS?usp=share_link,GUL EDA,29810.0,a076,04:14:42,vcf/TESTCASES_bedded/TestCase 74/snp_SRR7890919_bowtie-SRR7890918_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
