run,TestCaseNo,VariantCaller,pass_filter_applied,records_read,records_kept,n_variants
2,2,Mutect,True,2273,1261,1261
8,8,Mutect,True,2476,1276,1276
14,14,Mutect,True,2275,1293,1293
20,20,Mutect,True,2413,1237,1237
26,26,Mutect,True,1779,1082,1082
32,32,Mutect,True,2394,1094,1094
38,38,Mutect,True,1857,1117,1117
44,44,Mutect,True,2076,1075,1075
50,50,Strelka,True,63459,1915,1915
56,56,Strelka,True,79914,2245,2245
62,62,Strelka,True,80242,2343,2343
68,68,Strelka,True,60509,1809,1809
74,74,Strelka,True,49695,1193,1193
80,80,Strelka,True,58901,1131,1131
86,86,Strelka,True,66390,1230,1230
92,92,Strelka,True,44900,1080,1080
98,98,SomaticSniper,False,1550,1550,1550
104,104,SomaticSniper,False,1543,1543,1543
110,110,SomaticSniper,False,1600,1600,1600
116,116,SomaticSniper,False,1473,1473,1473
122,122,SomaticSniper,False,1211,1211,1211
128,128,SomaticSniper,False,758,758,758
134,134,SomaticSniper,False,1401,1401,1401
140,140,SomaticSniper,False,639,639,639
147,147,Mutect,True,2713,956,956
148,148,Mutect,True,2273,1261,1261
149,149,Mutect,True,2713,956,956
150,150,Mutect,True,2775,1137,1137
153,153,Mutect,True,3307,1104,1104
154,154,Mutect,True,2476,1276,1276
155,155,Mutect,True,3307,1104,1104
156,156,Mutect,True,2575,1138,1138
159,159,Mutect,True,3149,962,962
160,160,Mutect,True,2275,1293,1293
161,161,Mutect,True,3149,962,962
162,162,Mutect,True,2586,1139,1139
165,165,Mutect,True,2786,1023,1023
166,166,Mutect,True,2413,1237,1237
167,167,Mutect,True,2786,1023,1023
168,168,Mutect,True,2602,1131,1131
171,171,Mutect,True,2492,967,967
172,172,Mutect,True,1779,1082,1082
173,173,Mutect,True,2492,967,967
174,174,Mutect,True,2450,1071,1071
177,177,Mutect,True,4004,968,968
178,178,Mutect,True,2394,1094,1094
179,179,Mutect,True,4004,968,968
180,180,Mutect,True,2588,1084,1084
183,183,Mutect,True,2999,916,916
184,184,Mutect,True,1857,1117,1117
185,185,Mutect,True,2999,916,916
186,186,Mutect,True,2292,1078,1078
189,189,Mutect,True,3012,895,895
190,190,Mutect,True,2076,1075,1075
191,191,Mutect,True,3012,895,895
192,192,Mutect,True,2435,1086,1086
195,195,Strelka,True,83342,1872,1872
196,196,Strelka,True,63460,1915,1915
197,197,Strelka,True,83342,1872,1872
198,198,Strelka,True,76983,1835,1835
201,201,Strelka,True,102367,2055,2055
202,202,Strelka,True,79914,2245,2245
203,203,Strelka,True,102367,2055,2055
204,204,Strelka,True,94264,1989,1989
207,207,Strelka,True,105747,2122,2122
208,208,Strelka,True,80242,2343,2343
209,209,Strelka,True,105747,2122,2122
210,210,Strelka,True,93668,2050,2050
213,213,Strelka,True,83157,1817,1817
214,214,Strelka,True,60509,1809,1809
215,215,Strelka,True,83157,1817,1817
216,216,Strelka,True,77064,1757,1757
219,219,Strelka,True,65208,1173,1173
220,220,Strelka,True,49695,1193,1193
221,221,Strelka,True,65210,1173,1173
222,222,Strelka,True,62810,1179,1179
225,225,Strelka,True,62356,949,949
226,226,Strelka,True,58901,1131,1131
227,227,Strelka,True,62356,949,949
228,228,Strelka,True,71252,1103,1103
231,231,Strelka,True,90412,1313,1313
232,232,Strelka,True,66390,1230,1230
233,233,Strelka,True,90415,1313,1313
234,234,Strelka,True,81542,1209,1209
237,237,Strelka,True,42838,838,838
238,238,Strelka,True,44900,1080,1080
239,239,Strelka,True,42839,838,838
240,240,Strelka,True,52670,1045,1045
243,243,SomaticSniper,False,2210,2210,2210
244,244,SomaticSniper,False,1550,1550,1550
245,245,SomaticSniper,False,2210,2210,2210
246,246,SomaticSniper,False,1499,1499,1499
249,249,SomaticSniper,False,2622,2622,2622
250,250,SomaticSniper,False,1543,1543,1543
251,251,SomaticSniper,False,2622,2622,2622
252,252,SomaticSniper,False,1516,1516,1516
255,255,SomaticSniper,False,2724,2724,2724
256,256,SomaticSniper,False,1600,1600,1600
257,257,SomaticSniper,False,2724,2724,2724
258,258,SomaticSniper,False,1562,1562,1562
261,261,SomaticSniper,False,2164,2164,2164
262,262,SomaticSniper,False,1473,1473,1473
263,263,SomaticSniper,False,2164,2164,2164
264,264,SomaticSniper,False,1456,1456,1456
267,267,SomaticSniper,False,1752,1752,1752
268,268,SomaticSniper,False,1211,1211,1211
269,269,SomaticSniper,False,1752,1752,1752
270,270,SomaticSniper,False,1246,1246,1246
273,273,SomaticSniper,False,846,846,846
274,274,SomaticSniper,False,758,758,758
275,275,SomaticSniper,False,846,846,846
276,276,SomaticSniper,False,787,787,787
279,279,SomaticSniper,False,2406,2406,2406
280,280,SomaticSniper,False,1401,1401,1401
281,281,SomaticSniper,False,2406,2406,2406
282,282,SomaticSniper,False,1369,1369,1369
285,285,SomaticSniper,False,550,550,550
286,286,SomaticSniper,False,639,639,639
287,287,SomaticSniper,False,550,550,550
288,288,SomaticSniper,False,697,697,697
290,290,Mutect,True,2273,1261,1261
296,296,Mutect,True,2476,1276,1276
302,302,Mutect,True,2275,1293,1293
308,308,Mutect,True,2413,1237,1237
314,314,Mutect,True,1779,1082,1082
320,320,Mutect,True,2394,1094,1094
326,326,Mutect,True,1857,1117,1117
332,332,Mutect,True,2076,1075,1075
338,338,Strelka,True,63460,1915,1915
344,344,Strelka,True,79914,2245,2245
350,350,Strelka,True,80242,2343,2343
356,356,Strelka,True,60509,1809,1809
362,362,Strelka,True,49695,1193,1193
368,368,Strelka,True,58901,1131,1131
374,374,Strelka,True,66390,1230,1230
380,380,Strelka,True,44900,1080,1080
386,386,SomaticSniper,False,1550,1550,1550
392,392,SomaticSniper,False,1543,1543,1543
398,398,SomaticSniper,False,1600,1600,1600
404,404,SomaticSniper,False,1473,1473,1473
410,410,SomaticSniper,False,1211,1211,1211
416,416,SomaticSniper,False,758,758,758
422,422,SomaticSniper,False,1401,1401,1401
428,428,SomaticSniper,False,639,639,639
435,435,Mutect,True,2713,956,956
436,436,Mutect,True,2273,1261,1261
437,437,Mutect,True,2713,956,956
438,438,Mutect,True,2775,1137,1137
441,441,Mutect,True,3307,1104,1104
442,442,Mutect,True,2476,1276,1276
443,443,Mutect,True,3307,1104,1104
444,444,Mutect,True,2575,1138,1138
447,447,Mutect,True,3149,962,962
448,448,Mutect,True,2275,1293,1293
449,449,Mutect,True,3149,962,962
450,450,Mutect,True,2586,1139,1139
453,453,Mutect,True,2786,1023,1023
454,454,Mutect,True,2413,1237,1237
455,455,Mutect,True,2786,1023,1023
456,456,Mutect,True,2602,1131,1131
459,459,Mutect,True,2492,967,967
460,460,Mutect,True,1779,1082,1082
461,461,Mutect,True,2492,967,967
462,462,Mutect,True,2450,1071,1071
465,465,Mutect,True,4004,968,968
466,466,Mutect,True,2394,1094,1094
467,467,Mutect,True,4004,968,968
