Sample,Parameter,n_pairs,mean_iou_2dp,mean_iou
EA,Base Recalibration,96,0.8841666666666667,0.8845771313770247
FD,Base Recalibration,96,0.7258333333333334,0.7254143345153476
IL,Base Recalibration,96,0.8283333333333333,0.8282750838255205
LL,Base Recalibration,96,0.8300000000000001,0.8288740517426042
NC,Base Recalibration,96,0.9083333333333333,0.90763138407921
EA,Computing Environment,96,1.0,1.0
FD,Computing Environment,96,1.0,1.0
IL,Computing Environment,96,1.0,0.9999858180167914
LL,Computing Environment,96,1.0,1.0
NC,Computing Environment,96,1.0,1.0
EA,Mapper,96,0.6016666666666667,0.6022713312515208
FD,Mapper,96,0.505,0.5063498984806961
IL,Mapper,96,0.6283333333333333,0.6277833136633345
LL,Mapper,96,0.5891666666666667,0.587720117494954
NC,Mapper,96,0.655,0.6549427898378976
EA,Mark Duplicates,96,1.0,1.0
FD,Mark Duplicates,96,1.0,1.0
IL,Mark Duplicates,96,1.0,0.9999858180167914
LL,Mark Duplicates,96,1.0,1.0
NC,Mark Duplicates,96,1.0,1.0
EA,Trimming,96,0.8241666666666667,0.823512990892809
FD,Trimming,96,0.6699999999999999,0.6711850364684803
IL,Trimming,96,0.8574999999999999,0.8571534979614263
LL,Trimming,96,0.715,0.715032384789942
NC,Trimming,96,0.8358333333333333,0.83544216729778
EA,Variant Caller,192,0.48333333333333334,0.4821100985700258
FD,Variant Caller,192,0.3383333333333333,0.3377607505723587
IL,Variant Caller,192,0.5208333333333334,0.5207794968715339
LL,Variant Caller,192,0.3770833333333334,0.37710527881107825
NC,Variant Caller,192,0.5191666666666667,0.5190584103029453
