run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,elapsed_seconds
2,EA,Altay + COSAP,YES,YES,BWA,Mutect,MARK,a047,07:15:00,26100
8,EA,Altay + COSAP,NO,NO,BWA,Mutect,MARK,a047,06:12:47,22367
14,EA,Altay + COSAP,YES,NO,BWA,Mutect,MARK,a047,05:48:51,20931
20,EA,Altay + COSAP,NO,YES,BWA,Mutect,MARK,a047,07:44:08,27848
26,EA,Altay + COSAP,YES,YES,BOWTIE,Mutect,MARK,a078,07:36:41,27401
32,EA,Altay + COSAP,NO,NO,BOWTIE,Mutect,MARK,a078,09:57:30,35850
38,EA,Altay + COSAP,YES,NO,BOWTIE,Mutect,MARK,a078,06:05:48,21948
44,EA,Altay + COSAP,NO,YES,BOWTIE,Mutect,MARK,a078,10:37:11,38231
50,EA,Altay + COSAP,YES,YES,BWA,Strelka,MARK,a063,03:34:43,12883
56,EA,Altay + COSAP,NO,NO,BWA,Strelka,MARK,a063,01:39:41,5981
62,EA,Altay + COSAP,YES,NO,BWA,Strelka,MARK,a063,02:00:07,7207
68,EA,Altay + COSAP,NO,YES,BWA,Strelka,MARK,a063,03:23:03,12183
74,EA,Altay + COSAP,YES,YES,BOWTIE,Strelka,MARK,a076,04:14:42,15282
80,EA,Altay + COSAP,NO,NO,BOWTIE,Strelka,MARK,a076,02:19:51,8391
86,EA,Altay + COSAP,YES,NO,BOWTIE,Strelka,MARK,a076,02:29:00,8940
92,EA,Altay + COSAP,NO,YES,BOWTIE,Strelka,MARK,a076,03:57:32,14252
98,EA,Altay + COSAP,YES,YES,BWA,SomaticSniper,MARK,a041,03:56:22,14182
104,EA,Altay + COSAP,NO,NO,BWA,SomaticSniper,MARK,a041,02:03:55,7435
110,EA,Altay + COSAP,YES,NO,BWA,SomaticSniper,MARK,a041,02:22:27,8547
116,EA,Altay + COSAP,NO,YES,BWA,SomaticSniper,MARK,a041,03:46:40,13600
122,EA,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,a071,04:31:48,16308
128,EA,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,a071,02:38:59,9539
134,EA,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,a071,02:50:38,10238
140,EA,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,a071,04:30:22,16222
147,LL,Uhem + COSAP,YES,YES,BWA,Mutect,MARK,s008,2:59:11,10751
148,EA,Uhem + COSAP,YES,YES,BWA,Mutect,MARK,s004,07:47:19,28039
149,LL,Altay + COSAP,YES,YES,BWA,Mutect,MARK,a062,02:54:31,10471
150,NC,Uhem + COSAP,YES,YES,BWA,Mutect,MARK,s020,7:15:03,26103
153,LL,Uhem + COSAP,NO,NO,BWA,Mutect,MARK,s008,3:09:49,11389
154,EA,Uhem + COSAP,NO,NO,BWA,Mutect,MARK,s004,07:05:44,25544
155,LL,Altay + COSAP,NO,NO,BWA,Mutect,MARK,a062,03:16:30,11790
156,NC,Uhem + COSAP,NO,NO,BWA,Mutect,MARK,s020,8:33:53,30833
159,LL,Uhem + COSAP,YES,NO,BWA,Mutect,MARK,s008,2:30:06,9006
160,EA,Uhem + COSAP,YES,NO,BWA,Mutect,MARK,s004,06:19:42,22782
161,LL,Altay + COSAP,YES,NO,BWA,Mutect,MARK,a062,02:32:36,9156
162,NC,Uhem + COSAP,YES,NO,BWA,Mutect,MARK,s020,6:24:13,23053
165,LL,Uhem + COSAP,NO,YES,BWA,Mutect,MARK,s008,3:32:01,12721
