setting,level,n_runs,mean_seconds,median_seconds,min_seconds,max_seconds
Duplicates,DELETE,240,13958.341666666667,10286.0,2085,47021
Duplicates,MARK,240,13451.733333333334,10221.5,2201,45788
Environment,Altay + COSAP,240,13398.616666666667,10380.0,2277,42984
Environment,Uhem + COSAP,240,14011.458333333334,10213.5,2085,47021
Mapper,BOWTIE,240,14704.520833333334,10847.5,2746,47021
Mapper,BWA,240,12705.554166666667,9295.0,2085,39577
Sample,EA,96,17859.854166666668,15269.5,5860,45841
Sample,FD,96,9209.46875,6498.5,2201,25644
Sample,IL,96,20454.864583333332,16853.5,6557,47021
Sample,LL,96,6602.229166666667,5444.5,2085,15238
Sample,NC,96,14398.770833333334,9621.5,3357,39536
VariantCaller,Mutect,160,24553.75625,24322.5,8791,47021
VariantCaller,SomaticSniper,160,8782.41875,7509.0,2453,22074
VariantCaller,Strelka,160,7778.9375,6549.0,2085,20087
baseRecalibration,NO,240,11865.375,8418.5,2085,47021
baseRecalibration,YES,240,15544.7,13583.0,4490,45841
isTrimmed,NO,240,14681.445833333333,10466.0,2201,47021
isTrimmed,YES,240,12728.629166666668,10230.0,2085,35214
"isTrimmed, baseRecalibration","NO, NO",120,13066.658333333333,8019.5,2201,47021
"isTrimmed, baseRecalibration","NO, YES",120,16296.233333333334,13620.0,4490,45841
"isTrimmed, baseRecalibration","YES, NO",120,10664.091666666667,8842.5,2085,33588
"isTrimmed, baseRecalibration","YES, YES",120,14793.166666666666,13455.5,4605,35214
