run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,pass_filter_applied,n_variants,tmb,tmb_merged
2,EA,Altay + COSAP,YES,YES,BWA,Mutect,MARK,True,1261,15.613695238895232,15.623507612755418
8,EA,Altay + COSAP,NO,NO,BWA,Mutect,MARK,True,1276,15.799425158469719,15.809354253668449
14,EA,Altay + COSAP,YES,NO,BWA,Mutect,MARK,True,1293,16.009919067320805,16.019980446703215
20,EA,Altay + COSAP,NO,YES,BWA,Mutect,MARK,True,1237,15.316527367576052,15.32615298729457
26,EA,Altay + COSAP,YES,YES,BOWTIE,Mutect,MARK,True,1082,13.397318198639685,13.405737697859923
32,EA,Altay + COSAP,NO,NO,BOWTIE,Mutect,MARK,True,1094,13.545902134299274,13.554415010590347
38,EA,Altay + COSAP,YES,NO,BOWTIE,Mutect,MARK,True,1117,13.830688010980154,13.839379859990327
44,EA,Altay + COSAP,NO,YES,BOWTIE,Mutect,MARK,True,1075,13.310644236171589,13.319009265433841
50,EA,Altay + COSAP,YES,YES,BWA,Strelka,MARK,True,1915,23.71151973234288,23.726421156563543
56,EA,Altay + COSAP,NO,NO,BWA,Strelka,MARK,True,2245,27.7975779629816,27.81504725665021
62,EA,Altay + COSAP,YES,NO,BWA,Strelka,MARK,True,2343,29.011013437534917,29.02924531061534
68,EA,Altay + COSAP,NO,YES,BWA,Strelka,MARK,True,1809,22.399028300683167,22.41310489411146
74,EA,Altay + COSAP,YES,YES,BOWTIE,Strelka,MARK,True,1193,14.77171960349089,14.781002840616347
80,EA,Altay + COSAP,NO,NO,BOWTIE,Strelka,MARK,True,1131,14.004035935916342,14.012836724842488
86,EA,Altay + COSAP,YES,NO,BOWTIE,Strelka,MARK,True,1230,15.229853405107958,15.239424554868489
92,EA,Altay + COSAP,NO,YES,BOWTIE,Strelka,MARK,True,1080,13.372554209363086,13.380958145738186
98,EA,Altay + COSAP,YES,YES,BWA,SomaticSniper,MARK,False,1550,19.192091689363686,19.20415289434647
104,EA,Altay + COSAP,NO,NO,BWA,SomaticSniper,MARK,False,1543,19.105417726895592,19.11742446192039
110,EA,Altay + COSAP,YES,NO,BWA,SomaticSniper,MARK,False,1600,19.811191421278647,19.823641697389906
116,EA,Altay + COSAP,NO,YES,BWA,SomaticSniper,MARK,False,1473,18.238678102214653,18.25014013765958
122,EA,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,False,1211,14.994595506980275,15.004018809711983
128,EA,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,False,758,9.385551935830758,9.391450254138467
134,EA,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,False,1401,17.347174488257114,17.358076261277034
140,EA,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,False,639,7.9120945738731585,7.917066902895093
147,LL,Uhem + COSAP,YES,YES,BWA,Mutect,MARK,True,956,11.837186874213991,11.844625914190468
148,EA,Uhem + COSAP,YES,YES,BWA,Mutect,MARK,True,1261,15.613695238895232,15.623507612755418
149,LL,Altay + COSAP,YES,YES,BWA,Mutect,MARK,True,956,11.837186874213991,11.844625914190468
150,NC,Uhem + COSAP,YES,YES,BWA,Mutect,MARK,True,1137,14.078327903746137,14.0871753812077
153,LL,Uhem + COSAP,NO,NO,BWA,Mutect,MARK,True,1104,13.669722080682265,13.678312771199034
154,EA,Uhem + COSAP,NO,NO,BWA,Mutect,MARK,True,1276,15.799425158469719,15.809354253668449
155,LL,Altay + COSAP,NO,NO,BWA,Mutect,MARK,True,1104,13.669722080682265,13.678312771199034
156,NC,Uhem + COSAP,NO,NO,BWA,Mutect,MARK,True,1138,14.090709898384436,14.09956515726857
