setting,level,n_runs,mean_tmb,median_tmb,min_tmb,max_tmb
Duplicates,DELETE,240,17.865876880313195,15.273190386342005,4.668011978638781,40.848200311748904
Duplicates,MARK,240,17.86582528866887,15.273190386342005,4.668011978638781,40.848200311748904
Environment,Altay + COSAP,240,17.86582528866887,15.273190386342005,4.668011978638781,40.848200311748904
Environment,Uhem + COSAP,240,17.865876880313195,15.273190386342005,4.668011978638781,40.848200311748904
Mapper,BOWTIE,240,13.867627628317745,13.378745206682236,4.668011978638781,35.80872849396115
Mapper,BWA,240,21.86407454066432,19.965966354257386,11.837186874213991,40.848200311748904
Sample,EA,96,16.796175726852802,15.465111303235641,7.9120945738731585,29.011013437534917
Sample,FD,96,21.795921978509345,17.470994434640104,4.668011978638781,40.848200311748904
Sample,IL,96,16.49733112709302,14.041181919831239,8.419756354043423,32.205568054216094
Sample,LL,96,18.16232246861181,14.096900895703586,6.810097051064534,33.728553394726895
Sample,NC,96,16.077504121388188,14.350731785788719,8.63025026289451,25.383089008513263
VariantCaller,Mutect,160,13.896622132429096,13.496374155746077,11.081885201277743,18.622519936001925
VariantCaller,SomaticSniper,160,19.32914489251636,18.39964403251254,4.668011978638781,40.848200311748904
VariantCaller,Strelka,160,20.37178622852764,18.86396883144876,10.37611150689469,40.538650445791426
baseRecalibration,NO,240,19.361312282753776,16.133739013703796,9.385551935830758,40.848200311748904
baseRecalibration,YES,240,16.37038988622829,14.685045641022796,4.668011978638781,27.574702059492214
isTrimmed,NO,240,16.626542400308104,13.966889952001445,4.668011978638781,40.538650445791426
isTrimmed,YES,240,19.10515976867396,16.133739013703796,11.341907088682024,40.848200311748904
"isTrimmed, baseRecalibration","NO, NO",120,18.03107332544584,14.03499092251209,9.385551935830758,40.538650445791426
"isTrimmed, baseRecalibration","NO, YES",120,15.222011475170369,13.44684617719288,4.668011978638781,27.02989429540705
"isTrimmed, baseRecalibration","YES, NO",120,20.691551240061713,17.006669635703886,11.341907088682024,40.848200311748904
"isTrimmed, baseRecalibration","YES, YES",120,17.51876829728621,15.403201330044146,11.837186874213991,27.574702059492214
