source,df,sum_sq,percent
C(Center),4.0,2.7733030895055,19.391091846875252
C(Center):C(Environment),4.0,5.338290235888933e-10,3.732562685308845e-09
C(Duplicates),1.0,1.3345725590146675e-10,9.331406713568815e-10
C(Duplicates):C(Center),4.0,5.338290236449298e-10,3.732562685700655e-09
C(Duplicates):C(Center):C(Environment),4.0,5.338290236385076e-10,3.732562685655751e-09
C(Duplicates):C(Environment),1.0,1.3345725595892272e-10,9.33140671758617e-10
C(Duplicates):C(Mapper),1.0,1.3345725588785798e-10,9.331406712617282e-10
C(Duplicates):C(Mapper):C(Center),4.0,5.33829023609763e-10,3.732562685454767e-09
C(Duplicates):C(Mapper):C(Center):C(Environment),4.0,5.338290236067331e-10,3.732562685433582e-09
C(Duplicates):C(Mapper):C(Environment),1.0,1.33457255895875e-10,9.331406713177837e-10
C(Duplicates):C(Mapper):C(VariantCaller),2.0,2.6691451179026275e-10,1.8662813426251686e-09
C(Duplicates):C(Mapper):C(VariantCaller):C(Center),8.0,1.0676580472035747e-09,7.465125370798003e-09
C(Duplicates):C(Mapper):C(VariantCaller):C(Center):C(Environment),8.0,1.067658047225057e-09,7.465125370948207e-09
C(Duplicates):C(Mapper):C(VariantCaller):C(Environment),2.0,2.6691451181288697e-10,1.866281342783358e-09
C(Duplicates):C(VariantCaller),2.0,2.669145118261177e-10,1.8662813428758684e-09
C(Duplicates):C(VariantCaller):C(Center),8.0,1.067658047165488e-09,7.465125370531699e-09
C(Duplicates):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580472067329e-09,7.465125370820084e-09
C(Duplicates):C(VariantCaller):C(Environment),2.0,2.6691451181391185e-10,1.8662813427905245e-09
C(Environment),1.0,1.334572559023998e-10,9.331406713634056e-10
C(Mapper),1.0,0.04585331830749917,0.3206089915485091
C(Mapper):C(Center),4.0,0.06725181332448693,0.4702284773629135
C(Mapper):C(Center):C(Environment),4.0,5.338290235917321e-10,3.732562685328694e-09
C(Mapper):C(Environment),1.0,1.334572558963283e-10,9.331406713209533e-10
C(Mapper):C(VariantCaller),2.0,1.1390000048746787,7.963952368456932
C(Mapper):C(VariantCaller):C(Center),8.0,0.15134924553845586,1.0582424734956657
C(Mapper):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580471777832e-09,7.465125370617666e-09
C(Mapper):C(VariantCaller):C(Environment),2.0,2.669145118037276e-10,1.8662813427193154e-09
C(VariantCaller),2.0,7.715115843704615,53.944525753668785
C(VariantCaller):C(Center),8.0,0.5118310152392219,3.5787513684098813
C(VariantCaller):C(Center):C(Environment),8.0,1.067658047187213e-09,7.4651253706836e-09
C(VariantCaller):C(Environment),2.0,2.669145117805136e-10,1.866281342557002e-09
C(baseRecalibration),1.0,0.17704822935971898,1.2379312199349632
C(baseRecalibration):C(Center),4.0,0.04760419850582093,0.33285124479050365
C(baseRecalibration):C(Center):C(Environment),4.0,5.338290235537646e-10,3.732562685063223e-09
C(baseRecalibration):C(Duplicates),1.0,1.3345725587503668e-10,9.331406711720808e-10
C(baseRecalibration):C(Duplicates):C(Center),4.0,5.338290236320953e-10,3.732562685610916e-09
C(baseRecalibration):C(Duplicates):C(Center):C(Environment),4.0,5.338290236074213e-10,3.732562685438393e-09
C(baseRecalibration):C(Duplicates):C(Environment),1.0,1.3345725592162018e-10,9.331406714977954e-10
C(baseRecalibration):C(Duplicates):C(Mapper),1.0,1.3345725590007543e-10,9.331406713471534e-10
C(baseRecalibration):C(Duplicates):C(Mapper):C(Center),4.0,5.3382902359662e-10,3.73256268536287e-09
C(baseRecalibration):C(Duplicates):C(Mapper):C(Center):C(Environment),4.0,5.338290236009809e-10,3.7325626853933625e-09
C(baseRecalibration):C(Duplicates):C(Mapper):C(Environment),1.0,1.3345725590670694e-10,9.331406713935212e-10
C(baseRecalibration):C(Duplicates):C(Mapper):C(VariantCaller),2.0,2.6691451179435895e-10,1.8662813426538097e-09
C(baseRecalibration):C(Duplicates):C(Mapper):C(VariantCaller):C(Center),8.0,1.0676580472132027e-09,7.465125370865322e-09
C(baseRecalibration):C(Duplicates):C(Mapper):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580472229493e-09,7.465125370933472e-09
C(baseRecalibration):C(Duplicates):C(Mapper):C(VariantCaller):C(Environment),2.0,2.669145117943002e-10,1.866281342653399e-09
C(baseRecalibration):C(Duplicates):C(VariantCaller),2.0,2.6691451182875147e-10,1.866281342894284e-09
C(baseRecalibration):C(Duplicates):C(VariantCaller):C(Center),8.0,1.0676580472331365e-09,7.465125371004699e-09
C(baseRecalibration):C(Duplicates):C(VariantCaller):C(Center):C(Environment),8.0,1.067658047181561e-09,7.465125370644081e-09
C(baseRecalibration):C(Duplicates):C(VariantCaller):C(Environment),2.0,2.669145117921636e-10,1.8662813426384593e-09
C(baseRecalibration):C(Environment),1.0,1.3345725589622904e-10,9.331406713202593e-10
C(baseRecalibration):C(Mapper),1.0,0.016494272942547336,0.11532888806372579
C(baseRecalibration):C(Mapper):C(Center),4.0,0.01071875469938275,0.07494613828772588
C(baseRecalibration):C(Mapper):C(Center):C(Environment),4.0,5.338290236138295e-10,3.7325626854832e-09
C(baseRecalibration):C(Mapper):C(Environment),1.0,1.3345725591036556e-10,9.331406714191026e-10
C(baseRecalibration):C(Mapper):C(VariantCaller),2.0,0.03781741171686971,0.26442147877305155
C(baseRecalibration):C(Mapper):C(VariantCaller):C(Center),8.0,0.022821031052044142,0.15956593812091613
C(baseRecalibration):C(Mapper):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580471921575e-09,7.465125370718173e-09
C(baseRecalibration):C(Mapper):C(VariantCaller):C(Environment),2.0,2.6691451180419413e-10,1.8662813427225778e-09
C(baseRecalibration):C(VariantCaller),2.0,0.04686572402992767,0.32768778954365124
C(baseRecalibration):C(VariantCaller):C(Center),8.0,0.023739287647362196,0.1659864401014574
C(baseRecalibration):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580471908113e-09,7.46512537070876e-09
C(baseRecalibration):C(VariantCaller):C(Environment),2.0,2.6691451182998066e-10,1.8662813429028783e-09
C(isTrimmed),1.0,0.2275157898250022,1.5908032532778937
C(isTrimmed):C(Center),4.0,0.095592025964443,0.6683848448875864
