term,label,df,sum_sq,percent,F,minus_log10_p
C(Center),CEN,4.0,2.7733030895054855,19.391091846875153,5195114853.015258,1394.785798687727
C(Mapper),MP,1.0,0.04585331830749921,0.32060899154850936,343580556.91893667,1077.7272886021394
C(Mapper):C(Center),MP + CEN,4.0,0.06725181332448696,0.47022847736291373,125980061.68757796,1104.0330528820864
C(Mapper):C(VariantCaller),MP + VC,2.0,1.1390000048746867,7.963952368456989,4267283922.4104085,1327.4782294832899
C(Mapper):C(VariantCaller):C(Center),MP + VC + CEN,8.0,0.1513492455384549,1.0582424734956593,141758164.92341688,1163.6983778101983
C(VariantCaller),VC,2.0,7.715115843704623,53.94452575366885,28904819717.71081,1477.0255972647753
C(VariantCaller):C(Center),VC + CEN,8.0,0.5118310152392195,3.5787513684098644,479396016.89501685,1258.944701018618
C(baseRecalibration),BQSR,1.0,0.1770482293597209,1.2379312199349768,1326628725.907845,1183.3369752547499
C(baseRecalibration):C(Center),BQSR + CEN,4.0,0.047604198505820705,0.33285124479050215,89174991.24395171,1077.022502624235
C(baseRecalibration):C(Mapper),BQSR + MP,1.0,0.01649427294254844,0.11532888806373351,123592178.11826059,997.8006672086943
C(baseRecalibration):C(Mapper):C(Center),BQSR + MP + CEN,4.0,0.010718754699383153,0.0749461382877287,20079003.24898202,960.4726090548976
C(baseRecalibration):C(Mapper):C(VariantCaller),BQSR + MP + VC,2.0,0.0378174117168706,0.2644214787730578,141683610.46173283,1061.2885791419924
C(baseRecalibration):C(Mapper):C(VariantCaller):C(Center),BQSR + MP + VC + CEN,8.0,0.022821031052043597,0.15956593812091235,21374850.413615353,1015.8024201620422
C(baseRecalibration):C(VariantCaller),BQSR + VC,2.0,0.04686572402992762,0.3276877895436509,175583274.63487256,1078.0579952080016
C(baseRecalibration):C(VariantCaller):C(Center),BQSR + VC + CEN,8.0,0.023739287647361766,0.16598644010145444,22234916.60963781,1018.8862494502307
C(isTrimmed),TRM,1.0,0.2275157898250011,1.5908032532778864,1704783964.6349235,1202.9425624136152
C(isTrimmed):C(Center),TRM + CEN,4.0,0.0955920259644401,0.6683848448875662,179068618.85991514,1131.5222163439403
C(isTrimmed):C(Mapper),TRM + MP,1.0,0.25711248619656013,1.7977450260241583,1926553070.9427178,1212.5026530828368
C(isTrimmed):C(Mapper):C(Center),TRM + MP + CEN,4.0,0.05404852121649384,0.37791031317954304,101246876.48380527,1086.9474337001018
C(isTrimmed):C(Mapper):C(VariantCaller),TRM + MP + VC,2.0,0.37682604917785817,2.6347890201953663,1411785543.740207,1241.0093305450514
C(isTrimmed):C(Mapper):C(VariantCaller):C(Center),TRM + MP + VC + CEN,8.0,0.07751348745810537,0.5419786825174391,72601417.33632511,1111.3898648214001
C(isTrimmed):C(VariantCaller),TRM + VC,2.0,0.3498806013533512,2.446384927041103,1310833940.7625427,1235.2095418242284
C(isTrimmed):C(VariantCaller):C(Center),TRM + VC + CEN,8.0,0.050587441425809045,0.35371024779018834,47381688.88242968,1078.029669805938
C(isTrimmed):C(baseRecalibration),TRM + BQSR,1.0,0.00018328968263936287,0.001281571813803532,1373396.158952101,646.0657434972308
C(isTrimmed):C(baseRecalibration):C(Center),TRM + BQSR + CEN,4.0,0.0007525898428237666,0.005262150689711742,1409795.6640503122,752.8317983214455
C(isTrimmed):C(baseRecalibration):C(Mapper),TRM + BQSR + MP,1.0,0.0013033657973818354,0.009113207273574073,9766166.617003735,799.3952795236492
C(isTrimmed):C(baseRecalibration):C(Mapper):C(Center),TRM + BQSR + MP + CEN,4.0,0.0005111384300500067,0.003573908773647456,957494.6423808245,722.5906013333843
C(isTrimmed):C(baseRecalibration):C(Mapper):C(VariantCaller),TRM + BQSR + MP + VC,2.0,0.004274388378226296,0.029886764971722324,16014072.630798409,890.8621506502296
C(isTrimmed):C(baseRecalibration):C(Mapper):C(VariantCaller):C(Center),TRM + BQSR + MP + VC + CEN,8.0,0.0050481402603121985,0.03529688183525476,4728236.97952332,897.8663163923724
C(isTrimmed):C(baseRecalibration):C(VariantCaller),TRM + BQSR + VC,2.0,0.0066688257726939424,0.046628806479343386,24984875.2233359,925.6334055440009
C(isTrimmed):C(baseRecalibration):C(VariantCaller):C(Center),TRM + BQSR + VC + CEN,8.0,0.007312532444196399,0.051129639885105806,6849133.449884606,926.8346329107752
