run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Inter/Union,Precision,Recall,f1_score
2,EA,Altay + COSAP,YES,YES,BWA,Mutect,MARK,0.7474747474747475,0.8215701823949246,0.892334194659776,0.8554913294797688
8,EA,Altay + COSAP,NO,NO,BWA,Mutect,MARK,0.745702005730659,0.8158307210031348,0.896640826873385,0.8543290931473123
14,EA,Altay + COSAP,YES,NO,BWA,Mutect,MARK,0.7330508474576272,0.802784222737819,0.8940568475452196,0.8459657701711492
20,EA,Altay + COSAP,NO,YES,BWA,Mutect,MARK,0.763235294117647,0.8391269199676638,0.8940568475452196,0.865721434528774
26,EA,Altay + COSAP,YES,YES,BOWTIE,Mutect,MARK,0.8147249190938511,0.9306839186691312,0.8673557278208441,0.8979045920641997
32,EA,Altay + COSAP,NO,NO,BOWTIE,Mutect,MARK,0.7939538583929993,0.9122486288848263,0.859603789836348,0.8851441241685145
38,EA,Altay + COSAP,YES,NO,BOWTIE,Mutect,MARK,0.7965299684542587,0.9042076991942704,0.8699397071490095,0.8867427568042142
44,EA,Altay + COSAP,NO,YES,BOWTIE,Mutect,MARK,0.8032258064516129,0.9265116279069767,0.8578811369509044,0.89087656529517
50,EA,Altay + COSAP,YES,YES,BWA,Strelka,MARK,0.5303482587064676,0.5566579634464752,0.9181739879414298,0.693107932379714
56,EA,Altay + COSAP,NO,NO,BWA,Strelka,MARK,0.4561778537836682,0.4752783964365256,0.9190353143841516,0.6265413975337639
62,EA,Altay + COSAP,YES,NO,BWA,Strelka,MARK,0.43783340172343044,0.45539906103286387,0.9190353143841516,0.6090182648401826
68,EA,Altay + COSAP,NO,YES,BWA,Strelka,MARK,0.5590551181102362,0.5887230514096186,0.917312661498708,0.7171717171717172
74,EA,Altay + COSAP,YES,YES,BOWTIE,Strelka,MARK,0.6565798733286418,0.7820620284995808,0.8036175710594315,0.7926932880203906
80,EA,Altay + COSAP,NO,NO,BOWTIE,Strelka,MARK,0.6489208633093525,0.7975243147656941,0.7769164513350559,0.787085514834206
86,EA,Altay + COSAP,YES,NO,BOWTIE,Strelka,MARK,0.6410432395332876,0.759349593495935,0.8044788975021533,0.781263069845253
92,EA,Altay + COSAP,NO,YES,BOWTIE,Strelka,MARK,0.6736370425690814,0.8351851851851851,0.7769164513350559,0.8049977688531905
98,EA,Altay + COSAP,YES,YES,BWA,SomaticSniper,MARK,0.4717698154180239,0.5606451612903226,0.7484926787252368,0.6410918480265584
104,EA,Altay + COSAP,NO,NO,BWA,SomaticSniper,MARK,0.48083242059145676,0.5690213869086196,0.756244616709733,0.6494082840236687
110,EA,Altay + COSAP,YES,NO,BWA,SomaticSniper,MARK,0.4701810436634718,0.551875,0.7605512489233419,0.6396233248822891
116,EA,Altay + COSAP,NO,YES,BWA,SomaticSniper,MARK,0.48227349465391106,0.581805838424983,0.7381567614125754,0.6507213363705391
122,EA,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,0.5214881334188582,0.671345995045417,0.7002583979328165,0.6854974704890389
128,EA,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,0.33171408743927827,0.6306068601583114,0.4117140396210164,0.4981761334028141
