center,aligner,caller,n_variants,n_snv,n_indel,n_in_truth
EA,bowtie,mutect,25805,18110,7695,1108
EA,bowtie,somaticSniper,3652,3652,0,861
EA,bowtie,strelka,71209,67588,3621,1110
EA,bwa,mutect,11716,10762,954,1116
EA,bwa,somaticSniper,3511,3511,0,872
EA,bwa,strelka,98505,94723,3782,1123
EA,novo,mutect,11962,10983,979,1113
EA,novo,somaticSniper,3233,3233,0,855
EA,novo,strelka,88793,85013,3780,1121
FD,bowtie,mutect,11445,8975,2470,1028
FD,bowtie,somaticSniper,3274,3274,0,857
FD,bowtie,strelka,136527,134009,2518,1060
FD,bwa,mutect,7702,7162,540,1037
FD,bwa,somaticSniper,3453,3453,0,869
FD,bwa,strelka,191578,188741,2837,1081
FD,novo,mutect,7943,7387,556,1039
FD,novo,somaticSniper,3316,3316,0,860
FD,novo,strelka,176094,173223,2871,1069
IL,bowtie,mutect,27245,21041,6204,1128
IL,bowtie,somaticSniper,3940,3940,0,900
IL,bowtie,strelka,91374,87958,3416,1131
IL,bwa,mutect,19520,17069,2451,1133
IL,bwa,somaticSniper,3732,3732,0,910
IL,bwa,strelka,128402,124907,3495,1137
IL,novo,mutect,20235,17654,2581,1132
IL,novo,somaticSniper,3383,3383,0,892
IL,novo,strelka,116847,113305,3542,1131
LL,bowtie,mutect,8831,7032,1799,975
LL,bowtie,somaticSniper,3128,3128,0,816
LL,bowtie,strelka,87298,85563,1735,1004
LL,bwa,mutect,6571,5807,764,984
LL,bwa,somaticSniper,3336,3336,0,838
LL,bwa,strelka,115723,113813,1910,1026
LL,novo,mutect,6740,5993,747,975
LL,novo,somaticSniper,3129,3129,0,818
LL,novo,strelka,107439,105493,1946,1016
NC,bowtie,mutect,10302,8201,2101,1092
NC,bowtie,somaticSniper,3415,3415,0,871
NC,bowtie,strelka,82111,79302,2809,1096
NC,bwa,mutect,7358,6734,624,1098
NC,bwa,somaticSniper,3314,3314,0,878
NC,bwa,strelka,106243,103265,2978,1106
NC,novo,mutect,5433,4808,625,1075
NC,novo,somaticSniper,3079,3079,0,790
NC,novo,strelka,48546,45519,3027,1086
