run,TestCaseNo,region,filter,n_input,n_kept,iou,precision,recall,f1
2,2,GRCh38_alldifficultregions,corrected,1261,324,0.20633631194151097,0.7839506172839507,0.21877691645133507,0.34208754208754216
2,2,GRCh38_alldifficultregions,legacy,1261,1151,0.6900584795321637,0.8201563857515204,0.8130921619293713,0.8166089965397924
2,2,GRCh38_alllowmapandsegdupregions,corrected,1261,47,0.030716723549488054,0.7659574468085106,0.031007751937984496,0.05960264900662251
2,2,GRCh38_alllowmapandsegdupregions,legacy,1261,940,0.5796992481203007,0.8202127659574469,0.6640826873385013,0.7339362208472157
2,2,GRCh38_notinalldifficultregions,corrected,1261,937,0.5942249240121581,0.8345784418356457,0.673557278208441,0.7454718779790276
2,2,GRCh38_notinalldifficultregions,legacy,1261,1257,0.7445887445887446,0.8210023866348448,0.8888888888888888,0.8535980148883374
2,2,GRCh38_notinalllowmapandsegdupregions,corrected,1261,1214,0.7272727272727273,0.8237232289950577,0.8613264427217916,0.8421052631578948
2,2,GRCh38_notinalllowmapandsegdupregions,legacy,1261,1261,0.7474747474747475,0.8215701823949246,0.892334194659776,0.8554913294797688
2,2,GRCh38_notinsegdups,corrected,1261,1219,0.730909090909091,0.8244462674323215,0.8656330749354005,0.8445378151260504
2,2,GRCh38_notinsegdups,legacy,1261,1261,0.7474747474747475,0.8215701823949246,0.892334194659776,0.8554913294797688
2,2,GRCh38_segdups,corrected,1261,42,0.026450511945392493,0.7380952380952381,0.026701119724375538,0.051537822111388194
2,2,GRCh38_segdups,legacy,1261,755,0.46932515337423314,0.8105960264900662,0.5271317829457365,0.6388308977035491
8,8,GRCh38_alldifficultregions,corrected,1276,324,0.2082994304312449,0.7901234567901234,0.22049956933677864,0.3447811447811448
8,8,GRCh38_alldifficultregions,legacy,1276,1170,0.6866859623733719,0.8111111111111111,0.8173987941429802,0.8142428142428142
8,8,GRCh38_alllowmapandsegdupregions,corrected,1276,45,0.03076923076923077,0.8,0.031007751937984496,0.059701492537313425
8,8,GRCh38_alllowmapandsegdupregions,legacy,1276,959,0.5762081784386617,0.808133472367049,0.6675279931093885,0.7311320754716981
8,8,GRCh38_notinalldifficultregions,corrected,1276,952,0.5911144578313253,0.8245798319327731,0.6761412575366064,0.743019403691434
8,8,GRCh38_notinalldifficultregions,legacy,1276,1271,0.7421203438395415,0.8151062155782848,0.892334194659776,0.8519736842105262
8,8,GRCh38_notinalllowmapandsegdupregions,corrected,1276,1231,0.7245854361932228,0.8164094232331438,0.8656330749354005,0.8403010033444817
8,8,GRCh38_notinalllowmapandsegdupregions,legacy,1276,1276,0.745702005730659,0.8158307210031348,0.896640826873385,0.8543290931473123
8,8,GRCh38_notinsegdups,corrected,1276,1236,0.7281903388608507,0.8171521035598706,0.8699397071490095,0.8427200667501042
8,8,GRCh38_notinsegdups,legacy,1276,1276,0.745702005730659,0.8158307210031348,0.896640826873385,0.8543290931473123
8,8,GRCh38_segdups,corrected,1276,40,0.026495726495726495,0.775,0.026701119724375538,0.05162364696086595
8,8,GRCh38_segdups,legacy,1276,768,0.47027439024390244,0.8033854166666666,0.5314384151593454,0.6397096941420425
14,14,GRCh38_alldifficultregions,corrected,1293,331,0.20516962843295639,0.7673716012084593,0.21877691645133507,0.34048257372654156
14,14,GRCh38_alldifficultregions,legacy,1293,1184,0.6761972837741244,0.7989864864864865,0.8148148148148148,0.8068230277185501
14,14,GRCh38_alllowmapandsegdupregions,corrected,1293,48,0.030690537084398978,0.75,0.031007751937984496,0.059553349875930514
14,14,GRCh38_alllowmapandsegdupregions,legacy,1293,968,0.5700589970501475,0.7985537190082644,0.6658053402239449,0.7261625176139033
14,14,GRCh38_notinalldifficultregions,corrected,1293,962,0.585511575802838,0.814968814968815,0.6752799310938846,0.7385774846914744
14,14,GRCh38_notinalldifficultregions,legacy,1293,1289,0.730225988700565,0.8021722265321956,0.8906115417743324,0.8440816326530612
14,14,GRCh38_notinalllowmapandsegdupregions,corrected,1293,1245,0.7136752136752137,0.8048192771084337,0.8630490956072352,0.8329177057356608
14,14,GRCh38_notinalllowmapandsegdupregions,legacy,1293,1293,0.7330508474576272,0.802784222737819,0.8940568475452196,0.8459657701711492
14,14,GRCh38_notinsegdups,corrected,1293,1250,0.7172364672364673,0.8056,0.8673557278208441,0.8353380340107839
14,14,GRCh38_notinsegdups,legacy,1293,1293,0.7330508474576272,0.802784222737819,0.8940568475452196,0.8459657701711492
14,14,GRCh38_segdups,corrected,1293,43,0.026427962489343565,0.7209302325581395,0.026701119724375538,0.05149501661129568
14,14,GRCh38_segdups,legacy,1293,777,0.4637462235649547,0.7902187902187903,0.52885443583118,0.6336429308565532
20,20,GRCh38_alldifficultregions,corrected,1237,319,0.20816326530612245,0.799373040752351,0.21963824289405684,0.34459459459459457
20,20,GRCh38_alldifficultregions,legacy,1237,1128,0.7043931496649293,0.8386524822695035,0.8148148148148148,0.8265618173875054
20,20,GRCh38_alllowmapandsegdupregions,corrected,1237,44,0.030795551753635585,0.8181818181818182,0.031007751937984496,0.05975103734439835
20,20,GRCh38_alllowmapandsegdupregions,legacy,1237,919,0.5902140672782875,0.8400435255712732,0.664944013781223,0.7423076923076923
20,20,GRCh38_notinalldifficultregions,corrected,1237,918,0.6041666666666666,0.8529411764705882,0.6744186046511628,0.7532467532467532
20,20,GRCh38_notinalldifficultregions,legacy,1237,1232,0.7595588235294117,0.838474025974026,0.8897502153316107,0.8633514417049728
20,20,GRCh38_notinalllowmapandsegdupregions,corrected,1237,1193,0.7411242603550295,0.8398994132439229,0.8630490956072352,0.8513169073916736
20,20,GRCh38_notinalllowmapandsegdupregions,legacy,1237,1237,0.763235294117647,0.8391269199676638,0.8940568475452196,0.865721434528774
20,20,GRCh38_notinsegdups,corrected,1237,1198,0.7448224852071006,0.840567612687813,0.8673557278208441,0.8537515896566342
20,20,GRCh38_notinsegdups,legacy,1237,1237,0.763235294117647,0.8391269199676638,0.8940568475452196,0.865721434528774
20,20,GRCh38_segdups,corrected,1237,39,0.026518391787852865,0.7948717948717948,0.026701119724375538,0.05166666666666667
20,20,GRCh38_segdups,legacy,1237,738,0.4778210116731518,0.8319783197831978,0.52885443583118,0.6466561348077935
26,26,GRCh38_alldifficultregions,corrected,1082,257,0.1946082561078349,0.8988326848249028,0.19896640826873385,0.3258110014104373
26,26,GRCh38_alldifficultregions,legacy,1082,986,0.7455284552845528,0.9300202839756593,0.7898363479758829,0.8542151839776432
26,26,GRCh38_alllowmapandsegdupregions,corrected,1082,17,0.012027491408934709,0.8235294117647058,0.012058570198105082,0.023769100169779286
26,26,GRCh38_alllowmapandsegdupregions,legacy,1082,799,0.6118421052631579,0.9311639549436797,0.6408268733850129,0.7591836734693878
26,26,GRCh38_notinalldifficultregions,corrected,1082,825,0.6413223140495867,0.9406060606060606,0.6683893195521102,0.7814702920443101
26,26,GRCh38_notinalldifficultregions,legacy,1082,1079,0.8122977346278317,0.9304911955514366,0.8647717484926787,0.8964285714285714
26,26,GRCh38_notinalllowmapandsegdupregions,corrected,1082,1065,0.805352798053528,0.9323943661971831,0.8552971576227391,0.8921832884097034
26,26,GRCh38_notinalllowmapandsegdupregions,legacy,1082,1082,0.8147249190938511,0.9306839186691312,0.8673557278208441,0.8979045920641997
26,26,GRCh38_notinsegdups,corrected,1082,1065,0.805352798053528,0.9323943661971831,0.8552971576227391,0.8921832884097034
26,26,GRCh38_notinsegdups,legacy,1082,1082,0.8147249190938511,0.9306839186691312,0.8673557278208441,0.8979045920641997
26,26,GRCh38_segdups,corrected,1082,17,0.012027491408934709,0.8235294117647058,0.012058570198105082,0.023769100169779286
26,26,GRCh38_segdups,legacy,1082,638,0.4904722452361226,0.9278996865203761,0.5099052540913006,0.6581434130072261
32,32,GRCh38_alldifficultregions,corrected,1094,259,0.1912751677852349,0.8803088803088803,0.19638242894056848,0.3211267605633803
32,32,GRCh38_alldifficultregions,legacy,1094,996,0.7256,0.9106425702811245,0.781223083548665,0.840982846546129
32,32,GRCh38_alllowmapandsegdupregions,corrected,1094,15,0.01117798796216681,0.8666666666666667,0.01119724375538329,0.022108843537414963
32,32,GRCh38_alllowmapandsegdupregions,legacy,1094,806,0.5952960259529603,0.9106699751861043,0.632213608957795,0.7463141840366039
32,32,GRCh38_notinalldifficultregions,corrected,1094,835,0.6280587275693311,0.9221556886227545,0.6632213608957795,0.7715430861723447
32,32,GRCh38_notinalldifficultregions,legacy,1094,1091,0.7915672235481305,0.9120073327222732,0.8570198105081827,0.8836589698046182
32,32,GRCh38_notinalllowmapandsegdupregions,corrected,1094,1079,0.7848605577689243,0.9128822984244671,0.8484065460809647,0.8794642857142857
32,32,GRCh38_notinalllowmapandsegdupregions,legacy,1094,1094,0.7939538583929993,0.9122486288848263,0.859603789836348,0.8851441241685145
32,32,GRCh38_notinsegdups,corrected,1094,1079,0.7848605577689243,0.9128822984244671,0.8484065460809647,0.8794642857142857
32,32,GRCh38_notinsegdups,legacy,1094,1094,0.7939538583929993,0.9122486288848263,0.859603789836348,0.8851441241685145
32,32,GRCh38_segdups,corrected,1094,15,0.01117798796216681,0.8666666666666667,0.01119724375538329,0.022108843537414963
32,32,GRCh38_segdups,legacy,1094,650,0.4795751633986928,0.9030769230769231,0.5055986218776917,0.6482606294864716
38,38,GRCh38_alldifficultregions,corrected,1117,267,0.19298245614035087,0.8651685393258427,0.19896640826873385,0.3235294117647059
38,38,GRCh38_alldifficultregions,legacy,1117,1018,0.7307386814932486,0.9037328094302554,0.7924203273040482,0.8444240477283156
38,38,GRCh38_alllowmapandsegdupregions,corrected,1117,18,0.01201716738197425,0.7777777777777778,0.012058570198105082,0.02374893977947413
38,38,GRCh38_alllowmapandsegdupregions,legacy,1117,827,0.6019339242546333,0.9032648125755743,0.6434108527131783,0.7515090543259557
