n,size_ge,tp_ge,precision_ge,recall_ge,f1_ge,size_eq,tp_eq,precision_eq,recall_eq,f1_eq
1,16692,1121,0.06715791996165828,0.9655469422911284,0.125581134823279,2746,1,0.0003641660597232338,0.0008613264427217916,0.0005119017148707448
2,13946,1120,0.08030976624121612,0.9646856158484065,0.14827563381214007,3909,0,0.0,0.0,0.0
3,10037,1120,0.11158712762777723,0.9646856158484065,0.2000357206644044,1553,1,0.000643915003219575,0.0008613264427217916,0.0007369196757553427
4,8484,1119,0.1318953323903819,0.9638242894056848,0.23203732503888025,2974,0,0.0,0.0,0.0
5,5510,1119,0.20308529945553538,0.9638242894056848,0.33548193674111826,578,1,0.0017301038062283738,0.0008613264427217916,0.0011500862564692352
6,4932,1118,0.22668288726682886,0.9629629629629629,0.3669784999179386,1057,0,0.0,0.0,0.0
7,3875,1118,0.28851612903225804,0.9629629629629629,0.4440031771247021,308,0,0.0,0.0,0.0
8,3567,1118,0.31342865152789456,0.9629629629629629,0.47292724196277486,836,0,0.0,0.0,0.0
9,2731,1118,0.40937385573050167,0.9629629629629629,0.5745118191161357,150,1,0.006666666666666667,0.0008613264427217916,0.0015255530129672007
10,2581,1117,0.43277799302595893,0.9621016365202412,0.5970069481560664,286,0,0.0,0.0,0.0
11,2295,1117,0.48671023965141613,0.9621016365202412,0.6464120370370371,173,2,0.011560693641618497,0.0017226528854435831,0.0029985007496251873
12,2122,1115,0.5254476908576814,0.9603789836347976,0.6792567773378007,366,4,0.01092896174863388,0.0034453057708871662,0.005239030779305829
13,1756,1111,0.6326879271070615,0.9569336778639104,0.7617415152553995,98,0,0.0,0.0,0.0
14,1658,1111,0.6700844390832328,0.9569336778639104,0.7882227740333451,155,2,0.012903225806451613,0.0017226528854435831,0.00303951367781155
15,1503,1109,0.737857618097139,0.9552110249784669,0.8325825825825826,55,0,0.0,0.0,0.0
16,1448,1109,0.7658839779005525,0.9552110249784669,0.8501341510157149,98,5,0.05102040816326531,0.004306632213608958,0.0079428117553614
17,1350,1104,0.8177777777777778,0.9509043927648578,0.8793309438470729,23,2,0.08695652173913043,0.0017226528854435831,0.003378378378378378
18,1327,1102,0.8304446119065562,0.9491817398794143,0.8858520900321544,34,0,0.0,0.0,0.0
19,1293,1102,0.8522815158546017,0.9491817398794143,0.8981255093724531,24,1,0.041666666666666664,0.0008613264427217916,0.0016877637130801686
20,1269,1101,0.8676122931442081,0.9483204134366925,0.9061728395061728,35,3,0.08571428571428572,0.002583979328165375,0.005016722408026756
21,1234,1098,0.8897893030794165,0.9457364341085271,0.9169102296450939,9,0,0.0,0.0,0.0
22,1225,1098,0.8963265306122449,0.9457364341085271,0.920368818105616,32,6,0.1875,0.00516795865633075,0.010058675607711651
23,1193,1092,0.9153394803017603,0.9405684754521964,0.9277824978759558,10,5,0.5,0.004306632213608958,0.008539709649871906
24,1183,1087,0.9188503803888419,0.9362618432385874,0.9274744027303754,18,5,0.2777777777777778,0.004306632213608958,0.008481764206955048
25,1165,1082,0.9287553648068669,0.9319552110249785,0.9303525365434222,5,0,0.0,0.0,0.0
26,1160,1082,0.9327586206896552,0.9319552110249785,0.9323567427832831,9,1,0.1111111111111111,0.0008613264427217916,0.0017094017094017094
27,1151,1081,0.9391833188531712,0.9310938845822567,0.935121107266436,11,2,0.18181818181818182,0.0017226528854435831,0.0034129692832764505
28,1140,1079,0.9464912280701754,0.9293712316968131,0.9378531073446327,8,3,0.375,0.002583979328165375,0.005132591958939264
29,1132,1076,0.950530035335689,0.9267872523686477,0.938508504143044,2,2,1.0,0.0017226528854435831,0.003439380911435942
30,1130,1074,0.9504424778761061,0.9250645994832042,0.9375818419903972,11,3,0.2727272727272727,0.002583979328165375,0.005119453924914676
31,1119,1071,0.9571045576407506,0.9224806201550387,0.9394736842105262,3,1,0.3333333333333333,0.0008613264427217916,0.0017182130584192437
32,1116,1070,0.9587813620071685,0.921619293712317,0.9398331137461573,9,3,0.3333333333333333,0.002583979328165375,0.005128205128205128
33,1107,1067,0.96386630532972,0.9190353143841516,0.9409171075837742,2,1,0.5,0.0008613264427217916,0.001719690455717971
34,1105,1066,0.9647058823529412,0.9181739879414298,0.9408649602824359,7,4,0.5714285714285714,0.0034453057708871662,0.006849315068493151
35,1098,1062,0.9672131147540983,0.9147286821705426,0.9402390438247012,9,5,0.5555555555555556,0.004306632213608958,0.008547008547008548
36,1089,1057,0.970615243342516,0.9104220499569337,0.9395555555555556,6,2,0.3333333333333333,0.0017226528854435831,0.0034275921165381317
37,1083,1055,0.974145891043398,0.9086993970714901,0.9402852049910873,2,1,0.5,0.0008613264427217916,0.001719690455717971
38,1081,1054,0.9750231267345051,0.9078380706287683,0.9402319357716324,10,8,0.8,0.0068906115417743325,0.013663535439795049
39,1071,1046,0.976657329598506,0.9009474590869939,0.9372759856630825,5,2,0.4,0.0017226528854435831,0.003430531732418525
40,1066,1044,0.9793621013133208,0.8992248062015504,0.9375841939829368,11,8,0.7272727272727273,0.0068906115417743325,0.013651877133105802
41,1055,1036,0.9819905213270143,0.892334194659776,0.9350180505415162,5,2,0.4,0.0017226528854435831,0.003430531732418525
42,1050,1034,0.9847619047619047,0.8906115417743324,0.9353233830845772,6,4,0.6666666666666666,0.0034453057708871662,0.006855184233076263
43,1044,1030,0.9865900383141762,0.8871662360034454,0.9342403628117913,3,2,0.6666666666666666,0.0017226528854435831,0.0034364261168384875
44,1041,1028,0.9875120076849183,0.8854435831180018,0.9336966394187103,4,1,0.25,0.0008613264427217916,0.0017167381974248926
45,1037,1027,0.9903567984570878,0.8845822566752799,0.9344858962693358,7,6,0.8571428571428571,0.00516795865633075,0.010273972602739725
46,1030,1021,0.9912621359223301,0.8794142980189492,0.9319945230488362,8,4,0.5,0.0034453057708871662,0.006843455945252352
47,1022,1017,0.9951076320939335,0.875968992248062,0.9317453046266606,3,2,0.6666666666666666,0.0017226528854435831,0.0034364261168384875
48,1019,1015,0.9960745829244357,0.8742463393626184,0.9311926605504587,9,9,1.0,0.007751937984496124,0.015384615384615384
49,1010,1006,0.996039603960396,0.8664944013781223,0.9267618608935975,2,1,0.5,0.0008613264427217916,0.001719690455717971
50,1008,1005,0.9970238095238095,0.8656330749354005,0.9266943291839557,8,7,0.875,0.006029285099052541,0.011976047904191617
51,1000,998,0.998,0.859603789836348,0.923646459972235,3,3,1.0,0.002583979328165375,0.005154639175257732
52,997,995,0.9979939819458375,0.8570198105081827,0.9221501390176089,4,4,1.0,0.0034453057708871662,0.0068669527896995704
53,993,991,0.9979859013091642,0.8535745047372955,0.9201485608170845,2,2,1.0,0.0017226528854435831,0.003439380911435942
54,991,989,0.9979818365287588,0.8518518518518519,0.9191449814126395,4,3,0.75,0.002583979328165375,0.005150214592274678
55,987,986,0.9989868287740629,0.8492678725236865,0.9180633147113594,4,4,1.0,0.0034453057708871662,0.0068669527896995704
56,983,982,0.9989827060020345,0.8458225667527993,0.9160447761194029,5,5,1.0,0.004306632213608958,0.008576329331046312
57,978,977,0.9989775051124744,0.8415159345391904,0.9135109864422627,2,2,1.0,0.0017226528854435831,0.003439380911435942
58,976,975,0.9989754098360656,0.8397932816537468,0.9124941506785212,7,7,1.0,0.006029285099052541,0.011986301369863013
59,969,968,0.9989680082559339,0.8337639965546942,0.9089201877934272,4,4,1.0,0.0034453057708871662,0.0068669527896995704
60,965,964,0.9989637305699481,0.830318690783807,0.9068673565380997,17,17,1.0,0.014642549526270457,0.028862478777589132
61,948,947,0.9989451476793249,0.8156761412575366,0.8980559506875297,2,2,1.0,0.0017226528854435831,0.003439380911435942
62,946,945,0.9989429175475687,0.813953488372093,0.8970099667774086,8,8,1.0,0.0068906115417743325,0.013686911890504704
63,938,937,0.9989339019189766,0.8070628768303187,0.8928060981419724,2,2,1.0,0.0017226528854435831,0.003439380911435942
64,936,935,0.9989316239316239,0.8053402239448751,0.8917501192179303,4,4,1.0,0.0034453057708871662,0.0068669527896995704
65,932,931,0.9989270386266095,0.801894918173988,0.8896321070234113,3,3,1.0,0.002583979328165375,0.005154639175257732
66,929,928,0.9989235737351991,0.7993109388458226,0.8880382775119617,6,6,1.0,0.00516795865633075,0.010282776349614397
67,923,922,0.9989165763813651,0.7941429801894918,0.8848368522072937,2,2,1.0,0.0017226528854435831,0.003439380911435942
68,921,920,0.998914223669924,0.7924203273040482,0.8837656099903939,8,7,0.875,0.006029285099052541,0.011976047904191617
69,913,913,1.0,0.7863910422049957,0.8804243008678881,5,5,1.0,0.004306632213608958,0.008576329331046312
70,908,908,1.0,0.7820844099913867,0.8777187046882552,7,7,1.0,0.006029285099052541,0.011986301369863013
71,901,901,1.0,0.7760551248923342,0.8739088263821533,2,2,1.0,0.0017226528854435831,0.003439380911435942
72,899,899,1.0,0.7743324720068906,0.8728155339805824,10,10,1.0,0.008613264427217916,0.01707941929974381
73,889,889,1.0,0.7657192075796727,0.8673170731707317,5,5,1.0,0.004306632213608958,0.008576329331046312
74,884,884,1.0,0.7614125753660638,0.8645476772616137,9,9,1.0,0.007751937984496124,0.015384615384615384
75,875,875,1.0,0.7536606373815676,0.8595284872298625,4,4,1.0,0.0034453057708871662,0.0068669527896995704
76,871,871,1.0,0.7502153316106804,0.857283464566929,14,14,1.0,0.012058570198105082,0.023829787234042554
77,857,857,1.0,0.7381567614125754,0.8493557978196234,3,3,1.0,0.002583979328165375,0.005154639175257732
78,854,854,1.0,0.73557278208441,0.8476426799007444,8,8,1.0,0.0068906115417743325,0.013686911890504704
79,846,846,1.0,0.7286821705426356,0.8430493273542601,3,3,1.0,0.002583979328165375,0.005154639175257732
80,843,843,1.0,0.7260981912144703,0.841317365269461,17,17,1.0,0.014642549526270457,0.028862478777589132
81,826,826,1.0,0.7114556416881999,0.8314041268243584,7,7,1.0,0.006029285099052541,0.011986301369863013
82,819,819,1.0,0.7054263565891473,0.8272727272727274,7,7,1.0,0.006029285099052541,0.011986301369863013
83,812,812,1.0,0.6993970714900948,0.8231120121642169,2,2,1.0,0.0017226528854435831,0.003439380911435942
84,810,810,1.0,0.6976744186046512,0.8219178082191781,2,2,1.0,0.0017226528854435831,0.003439380911435942
85,808,808,1.0,0.6959517657192076,0.8207211782630777,3,3,1.0,0.002583979328165375,0.005154639175257732
86,805,805,1.0,0.6933677863910422,0.8189216683621566,12,12,1.0,0.0103359173126615,0.020460358056265983
87,793,793,1.0,0.6830318690783808,0.8116683725690891,5,5,1.0,0.004306632213608958,0.008576329331046312
