run,Sample,Mapper,VariantCaller,isTrimmed,baseRecalibration,n_variants,precision,recall,f1
2,EA,BWA,Mutect,YES,YES,1261,0.8215701823949246,0.892334194659776,0.8554913294797688
8,EA,BWA,Mutect,NO,NO,1276,0.8158307210031348,0.896640826873385,0.8543290931473123
14,EA,BWA,Mutect,YES,NO,1293,0.802784222737819,0.8940568475452196,0.8459657701711492
20,EA,BWA,Mutect,NO,YES,1237,0.8391269199676638,0.8940568475452196,0.865721434528774
26,EA,BOWTIE,Mutect,YES,YES,1082,0.9306839186691312,0.8673557278208441,0.8979045920641997
32,EA,BOWTIE,Mutect,NO,NO,1094,0.9122486288848263,0.859603789836348,0.8851441241685145
38,EA,BOWTIE,Mutect,YES,NO,1117,0.9042076991942704,0.8699397071490095,0.8867427568042142
44,EA,BOWTIE,Mutect,NO,YES,1075,0.9265116279069767,0.8578811369509044,0.89087656529517
50,EA,BWA,Strelka,YES,YES,1915,0.5566579634464752,0.9181739879414298,0.693107932379714
56,EA,BWA,Strelka,NO,NO,2245,0.4752783964365256,0.9190353143841516,0.6265413975337639
62,EA,BWA,Strelka,YES,NO,2343,0.45539906103286387,0.9190353143841516,0.6090182648401826
68,EA,BWA,Strelka,NO,YES,1809,0.5887230514096186,0.917312661498708,0.7171717171717172
74,EA,BOWTIE,Strelka,YES,YES,1193,0.7820620284995808,0.8036175710594315,0.7926932880203906
80,EA,BOWTIE,Strelka,NO,NO,1131,0.7975243147656941,0.7769164513350559,0.787085514834206
86,EA,BOWTIE,Strelka,YES,NO,1230,0.759349593495935,0.8044788975021533,0.781263069845253
92,EA,BOWTIE,Strelka,NO,YES,1080,0.8351851851851851,0.7769164513350559,0.8049977688531905
98,EA,BWA,SomaticSniper,YES,YES,1550,0.5606451612903226,0.7484926787252368,0.6410918480265584
104,EA,BWA,SomaticSniper,NO,NO,1543,0.5690213869086196,0.756244616709733,0.6494082840236687
110,EA,BWA,SomaticSniper,YES,NO,1600,0.551875,0.7605512489233419,0.6396233248822891
116,EA,BWA,SomaticSniper,NO,YES,1473,0.581805838424983,0.7381567614125754,0.6507213363705391
122,EA,BOWTIE,SomaticSniper,YES,YES,1211,0.671345995045417,0.7002583979328165,0.6854974704890389
128,EA,BOWTIE,SomaticSniper,NO,NO,758,0.6306068601583114,0.4117140396210164,0.4981761334028141
134,EA,BOWTIE,SomaticSniper,YES,NO,1401,0.6002855103497502,0.7243755383290267,0.6565183450429353
140,EA,BOWTIE,SomaticSniper,NO,YES,639,0.7339593114241002,0.40396210163652024,0.5211111111111112
147,LL,BWA,Mutect,YES,YES,956,0.9257322175732218,0.7622739018087855,0.8360888049126122
150,NC,BWA,Mutect,YES,YES,1137,0.8865435356200527,0.8682170542635659,0.8772845953002611
153,LL,BWA,Mutect,NO,NO,1104,0.8079710144927537,0.768303186907838,0.7876379690949227
156,NC,BWA,Mutect,NO,NO,1138,0.8875219683655536,0.8699397071490095,0.8786428882122662
159,LL,BWA,Mutect,YES,NO,962,0.9178794178794178,0.7605512489233419,0.8318417333961375
162,NC,BWA,Mutect,YES,NO,1139,0.8884986830553117,0.8716623600344531,0.88
165,LL,BWA,Mutect,NO,YES,1023,0.8651026392961877,0.7622739018087855,0.8104395604395604
168,NC,BWA,Mutect,NO,YES,1131,0.8894783377541998,0.8664944013781223,0.8778359511343804
171,LL,BOWTIE,Mutect,YES,YES,967,0.905894519131334,0.7545219638242894,0.8233082706766917
174,NC,BOWTIE,Mutect,YES,YES,1071,0.9178338001867413,0.8466838931955211,0.8808243727598567
177,LL,BOWTIE,Mutect,NO,NO,968,0.8450413223140496,0.7045650301464255,0.7684358853922029
180,NC,BOWTIE,Mutect,NO,NO,1084,0.8976014760147601,0.8380706287683032,0.8668151447661471
183,LL,BOWTIE,Mutect,YES,NO,916,0.9377729257641921,0.739879414298019,0.8271545498314878
186,NC,BOWTIE,Mutect,YES,NO,1078,0.9109461966604824,0.8458225667527993,0.8771773112996875
189,LL,BOWTIE,Mutect,NO,YES,895,0.9083798882681564,0.7002583979328165,0.7908560311284046
192,NC,BOWTIE,Mutect,NO,YES,1086,0.8959484346224678,0.8380706287683032,0.8660436137071651
195,LL,BWA,Strelka,YES,YES,1872,0.49252136752136755,0.7941429801894918,0.6079788987800858
198,NC,BWA,Strelka,YES,YES,1835,0.5656675749318801,0.8940568475452196,0.6929238985313753
201,LL,BWA,Strelka,NO,NO,2055,0.45012165450121655,0.7967269595176572,0.5752487562189055
204,NC,BWA,Strelka,NO,NO,1989,0.5238813474107592,0.8975021533161068,0.6615873015873016
207,LL,BWA,Strelka,YES,NO,2122,0.4363807728557964,0.797588285960379,0.5641181845872678
210,NC,BWA,Strelka,YES,NO,2050,0.5092682926829268,0.8992248062015504,0.650264715042043
213,LL,BWA,Strelka,NO,YES,1817,0.5079801871216291,0.7950043066322137,0.6198791134989927
216,NC,BWA,Strelka,NO,YES,1757,0.5896414342629482,0.892334194659776,0.7100753941055518
219,LL,BOWTIE,Strelka,YES,YES,1173,0.7041773231031543,0.7114556416881999,0.7077977720651243
222,NC,BOWTIE,Strelka,YES,YES,1179,0.7955894826123834,0.8079242032730405,0.8017094017094016
225,LL,BOWTIE,Strelka,NO,NO,949,0.7555321390937829,0.6175710594315246,0.6796208530805687
228,NC,BOWTIE,Strelka,NO,NO,1103,0.8250226654578422,0.7838070628768303,0.8038869257950529
231,LL,BOWTIE,Strelka,YES,NO,1313,0.6329017517136329,0.7157622739018088,0.67178658043654
234,NC,BOWTIE,Strelka,YES,NO,1209,0.7775020678246485,0.8096468561584841,0.7932489451476793
237,LL,BOWTIE,Strelka,NO,YES,838,0.8496420047732697,0.6132644272179156,0.7123561780890446
240,NC,BOWTIE,Strelka,NO,YES,1045,0.8708133971291866,0.7838070628768303,0.8250226654578423
243,LL,BWA,SomaticSniper,YES,YES,2210,0.38235294117647056,0.7278208440999139,0.5013349154553545
246,NC,BWA,SomaticSniper,YES,YES,1499,0.5917278185456971,0.7639965546942291,0.6669172932330827
249,LL,BWA,SomaticSniper,NO,NO,2622,0.32608695652173914,0.7364341085271318,0.45202220459952414
252,NC,BWA,SomaticSniper,NO,NO,1516,0.5910290237467019,0.7717484926787253,0.6694060515502428
255,LL,BWA,SomaticSniper,YES,NO,2724,0.31497797356828194,0.7390180878552972,0.44169884169884166
258,NC,BWA,SomaticSniper,YES,NO,1562,0.5742637644046095,0.772609819121447,0.6588321704002938
261,LL,BWA,SomaticSniper,NO,YES,2164,0.38909426987060997,0.7252368647717485,0.5064661654135337
264,NC,BWA,SomaticSniper,NO,YES,1456,0.6098901098901099,0.7648578811369509,0.6786396637371036
267,LL,BOWTIE,SomaticSniper,YES,YES,1752,0.4463470319634703,0.673557278208441,0.5369035358736698
270,NC,BOWTIE,SomaticSniper,YES,YES,1246,0.6701444622792937,0.719207579672696,0.6938097216452015
273,LL,BOWTIE,SomaticSniper,NO,NO,846,0.16666666666666666,0.12144702842377261,0.14050822122571002
276,NC,BOWTIE,SomaticSniper,NO,NO,787,0.6213468869123253,0.42118863049095606,0.5020533880903492
279,LL,BOWTIE,SomaticSniper,YES,NO,2406,0.3345802161263508,0.6933677863910422,0.45135968601065324
282,NC,BOWTIE,SomaticSniper,YES,NO,1369,0.6194302410518627,0.7304048234280792,0.6703557312252965
285,LL,BOWTIE,SomaticSniper,NO,YES,550,0.24727272727272728,0.11714039621016366,0.15897136177673876
288,NC,BOWTIE,SomaticSniper,NO,YES,697,0.6901004304160688,0.4142980189491817,0.5177610333692142
577,FD,BWA,Mutect,YES,YES,1290,0.7294573643410853,0.8105081826012058,0.7678498572011424
578,FD,BOWTIE,Mutect,YES,YES,1006,0.8956262425447317,0.7760551248923342,0.8315643747115828
579,FD,BWA,Strelka,YES,YES,2209,0.4422815753734722,0.8415159345391904,0.5798219584569733
580,FD,BOWTIE,Strelka,YES,YES,1242,0.7198067632850241,0.7700258397932817,0.7440699126092384
581,FD,BWA,SomaticSniper,YES,YES,2227,0.3920071845532106,0.751937984496124,0.5153482880755609
582,FD,BOWTIE,SomaticSniper,YES,YES,1767,0.46123372948500285,0.7019810508182601,0.5566939890710384
589,FD,BWA,Mutect,YES,NO,1378,0.6843251088534107,0.8122308354866494,0.7428121307601416
590,FD,BOWTIE,Mutect,YES,NO,1073,0.8462255358807083,0.7820844099913867,0.8128916741271262
591,FD,BWA,Strelka,YES,NO,3231,0.3039306716186939,0.8458225667527993,0.44717668488160295
592,FD,BOWTIE,Strelka,YES,NO,1422,0.6315049226441631,0.7734711455641688,0.6953155245838173
593,FD,BWA,SomaticSniper,YES,NO,3299,0.27462867535616853,0.7803617571059431,0.40627802690582965
594,FD,BOWTIE,SomaticSniper,YES,NO,2892,0.2946058091286307,0.7338501291989664,0.4204293116210215
601,FD,BWA,Mutect,NO,YES,1400,0.6728571428571428,0.8113695090439277,0.735650136665365
602,FD,BOWTIE,Mutect,NO,YES,1086,0.7863720073664825,0.73557278208441,0.7601246105919003
603,FD,BWA,Strelka,NO,YES,2182,0.4477543538038497,0.8415159345391904,0.5845049356865092
604,FD,BOWTIE,Strelka,NO,YES,889,0.8571428571428571,0.6563307493540051,0.7434146341463415
605,FD,BWA,SomaticSniper,NO,YES,2183,0.40036646816307836,0.7527993109388458,0.5227272727272727
606,FD,BOWTIE,SomaticSniper,NO,YES,377,0.1830238726790451,0.059431524547803614,0.08972691807542262
613,FD,BWA,Mutect,NO,NO,1504,0.6276595744680851,0.8130921619293713,0.7084427767354596
614,FD,BOWTIE,Mutect,NO,NO,1369,0.6325785244704164,0.7459086993970715,0.6845849802371542
615,FD,BWA,Strelka,NO,NO,3274,0.30054978619425776,0.8475452196382429,0.44374295377677553
616,FD,BOWTIE,Strelka,NO,NO,1048,0.7337786259541985,0.6623600344530577,0.6962426437301947
617,FD,BWA,SomaticSniper,NO,NO,3110,0.2897106109324759,0.7760551248923342,0.4219152423320066
618,FD,BOWTIE,SomaticSniper,NO,NO,789,0.09632446134347275,0.06546080964685616,0.07794871794871795
769,IL,BWA,Mutect,YES,YES,1128,0.9273049645390071,0.9009474590869939,0.9139362166885103
770,IL,BWA,Mutect,NO,NO,1125,0.9164444444444444,0.8880275624461671,0.9020122484689413
771,IL,BWA,Mutect,YES,NO,1125,0.9164444444444444,0.8880275624461671,0.9020122484689413
772,IL,BWA,Mutect,NO,YES,1132,0.9257950530035336,0.9026701119724375,0.9140863497601396
773,IL,BOWTIE,Mutect,YES,YES,1054,0.9667931688804554,0.8776916451335056,0.9200902934537246
774,IL,BOWTIE,Mutect,NO,NO,1043,0.959731543624161,0.8621877691645133,0.9083484573502723
775,IL,BOWTIE,Mutect,YES,NO,1051,0.9571836346336822,0.8664944013781223,0.9095840867992767
776,IL,BOWTIE,Mutect,NO,YES,1039,0.9759384023099134,0.8733850129198967,0.9218181818181818
777,IL,BWA,Strelka,YES,YES,1711,0.6282875511396844,0.9259259259259259,0.7486072423398329
778,IL,BWA,Strelka,NO,NO,2561,0.4228816868410777,0.9328165374677002,0.5819451907576572
