run,region,n_called,n_truth,tp,precision,recall,f1
2,GRCh38_alldifficultregions,324,294,254,0.7839506172839507,0.8639455782312925,0.8220064724919094
2,GRCh38_alllowmapandsegdupregions,47,43,36,0.7659574468085106,0.8372093023255814,0.8
2,GRCh38_notinalldifficultregions,937,867,782,0.8345784418356457,0.9019607843137255,0.8669623059866961
2,GRCh38_notinalllowmapandsegdupregions,1214,1118,1000,0.8237232289950577,0.8944543828264758,0.8576329331046313
2,GRCh38_notinsegdups,1219,1123,1005,0.8244462674323215,0.8949243098842387,0.8582408198121264
2,GRCh38_segdups,42,38,31,0.7380952380952381,0.8157894736842105,0.775
8,GRCh38_alldifficultregions,324,294,256,0.7901234567901234,0.8707482993197279,0.8284789644012944
8,GRCh38_alllowmapandsegdupregions,45,43,36,0.8,0.8372093023255814,0.8181818181818183
8,GRCh38_notinalldifficultregions,952,867,785,0.8245798319327731,0.9054209919261822,0.863111599780099
8,GRCh38_notinalllowmapandsegdupregions,1231,1118,1005,0.8164094232331438,0.8989266547406082,0.8556832694763729
8,GRCh38_notinsegdups,1236,1123,1010,0.8171521035598706,0.8993766696349065,0.8562950402713015
8,GRCh38_segdups,40,38,31,0.775,0.8157894736842105,0.7948717948717949
14,GRCh38_alldifficultregions,331,294,254,0.7673716012084593,0.8639455782312925,0.8128
14,GRCh38_alllowmapandsegdupregions,48,43,36,0.75,0.8372093023255814,0.7912087912087912
14,GRCh38_notinalldifficultregions,962,867,784,0.814968814968815,0.9042675893886967,0.8572990705303445
14,GRCh38_notinalllowmapandsegdupregions,1245,1118,1002,0.8048192771084337,0.8962432915921288,0.8480744815911977
14,GRCh38_notinsegdups,1250,1123,1007,0.8056,0.8967052537845058,0.8487147071217868
14,GRCh38_segdups,43,38,31,0.7209302325581395,0.8157894736842105,0.765432098765432
20,GRCh38_alldifficultregions,319,294,255,0.799373040752351,0.8673469387755102,0.831973898858075
20,GRCh38_alllowmapandsegdupregions,44,43,36,0.8181818181818182,0.8372093023255814,0.8275862068965518
20,GRCh38_notinalldifficultregions,918,867,783,0.8529411764705882,0.903114186851211,0.8773109243697479
20,GRCh38_notinalllowmapandsegdupregions,1193,1118,1002,0.8398994132439229,0.8962432915921288,0.8671570748593682
20,GRCh38_notinsegdups,1198,1123,1007,0.840567612687813,0.8967052537845058,0.8677294269711332
20,GRCh38_segdups,39,38,31,0.7948717948717948,0.8157894736842105,0.8051948051948051
26,GRCh38_alldifficultregions,257,294,231,0.8988326848249028,0.7857142857142857,0.838475499092559
26,GRCh38_alllowmapandsegdupregions,17,43,14,0.8235294117647058,0.32558139534883723,0.46666666666666673
26,GRCh38_notinalldifficultregions,825,867,776,0.9406060606060606,0.895040369088812,0.9172576832151299
26,GRCh38_notinalllowmapandsegdupregions,1065,1118,993,0.9323943661971831,0.8881932021466905,0.9097572148419607
26,GRCh38_notinsegdups,1065,1123,993,0.9323943661971831,0.8842386464826358,0.9076782449725778
26,GRCh38_segdups,17,38,14,0.8235294117647058,0.3684210526315789,0.509090909090909
32,GRCh38_alldifficultregions,259,294,228,0.8803088803088803,0.7755102040816326,0.8245931283905967
32,GRCh38_alllowmapandsegdupregions,15,43,13,0.8666666666666667,0.3023255813953488,0.44827586206896547
32,GRCh38_notinalldifficultregions,835,867,770,0.9221556886227545,0.8881199538638985,0.9048178613396005
32,GRCh38_notinalllowmapandsegdupregions,1079,1118,985,0.9128822984244671,0.8810375670840788,0.8966772872098315
32,GRCh38_notinsegdups,1079,1123,985,0.9128822984244671,0.8771148708815673,0.8946412352406904
