center,size,k,f1,precision,recall,combination,gain_over_best_individual
EA,1,1,0.8979045920641997,0.9306839186691312,0.8673557278208441,3,0.0
EA,2,2,0.9187500000000001,0.953660797034291,0.8863049095607235,13;21,0.020845407935800364
EA,3,3,0.9187500000000001,0.953660797034291,0.8863049095607235,12;13;21,0.020845407935800364
EA,4,3,0.9201961658493089,0.9537892791127541,0.8888888888888888,7;12;13;21,0.022291573785109153
EA,5,4,0.9200535953550693,0.9554730983302412,0.8871662360034454,11;13;14;20;23,0.02214900329086955
EA,6,4,0.9209932279909706,0.967741935483871,0.8785529715762274,1;9;13;14;19;23,0.023088635926770906
FD,1,1,0.8315643747115828,0.8956262425447317,0.7760551248923342,3,0.0
FD,2,2,0.8431924882629108,0.9267285861713106,0.7734711455641688,3;23,0.011628113551327979
FD,3,2,0.8467889908256881,0.9057899901864573,0.7950043066322137,3;11;13,0.015224616114105305
FD,4,3,0.8558139534883721,0.9302325581395349,0.7924203273040482,3;11;12;21,0.024249578776789238
FD,5,4,0.8562121917170776,0.9311740890688259,0.7924203273040482,3;11;12;21;23,0.024647817005494788
FD,6,4,0.8576814326107446,0.9469302809573361,0.7838070628768303,0;3;11;12;17;21,0.026117057899161744
IL,1,1,0.9218181818181818,0.9759384023099134,0.8733850129198967,1,0.0
IL,2,2,0.926094890510949,0.9844810863239574,0.8742463393626184,3;21,0.004276708692767195
IL,3,2,0.9363431151241535,0.9838709677419355,0.8931955211024979,1;13;17,0.01452493330597171
IL,4,3,0.9362279511533242,0.9857142857142858,0.8914728682170543,1;13;15;17,0.014409769335142486
IL,5,3,0.9372460496613995,0.9848197343453511,0.8940568475452196,1;11;13;15;17,0.015427867843217702
IL,6,4,0.9373591707976565,0.9829867674858223,0.8957795004306632,0;1;13;15;17;22,0.015540988979474757
LL,1,1,0.8360888049126122,0.9257322175732218,0.7622739018087855,15,0.0
LL,2,2,0.8426150121065376,0.9623893805309734,0.7493540051679587,15;20,0.006526207193925382
LL,3,2,0.8450433108758422,0.9574700109051254,0.756244616709733,3;11;15,0.008954505963229997
LL,4,3,0.8475228475228475,0.9596949891067538,0.7588285960378983,1;13;15;20,0.011434042610235284
LL,5,3,0.8478156505040807,0.9577006507592191,0.7605512489233419,1;9;13;15;20,0.011726845591468527
LL,6,3,0.8475551294343241,0.9556756756756757,0.7614125753660638,1;3;6;10;14;15,0.011466324521711924
NC,1,1,0.8808243727598567,0.9178338001867413,0.8466838931955211,3,0.0
NC,2,2,0.8946660690273421,0.9327102803738317,0.859603789836348,13;21,0.013841696267485437
NC,3,2,0.8981606101390758,0.9372659176029963,0.8621877691645133,3;12;17,0.017336237379219077
NC,4,3,0.9038112522686025,0.9549376797698945,0.8578811369509044,3;12;17;21,0.022986879508745783
NC,5,4,0.9036363636363637,0.9566891241578441,0.8561584840654608,3;12;15;17;21,0.022811990876506982
NC,6,4,0.9061784897025171,0.966796875,0.8527131782945736,0;3;12;17;19;23,0.025354116942660432
