center,size,k,n_combinations,f1_min,f1_median,f1_max,best_combination,best_precision,best_recall,best_n_called
EA,1,1,24,0.4981761334028141,0.7492173935084852,0.8979045920641997,3,0.9306839186691312,0.8673557278208441,1082
EA,2,1,276,0.4912820512820514,0.6909497191476515,0.8855765015344147,1;3,0.9017857142857143,0.8699397071490095,1120
EA,2,2,276,0.5042462845010615,0.8205518477691015,0.9187500000000001,13;21,0.953660797034291,0.8863049095607235,1079
EA,3,1,2024,0.4998836397486619,0.6565890026915968,0.8781967923710446,0;1;3,0.8839441535776614,0.8725236864771748,1146
EA,3,2,2024,0.5013137151865475,0.8477366255144033,0.9150561797752808,1;11;13,0.956766917293233,0.8768303186907838,1064
EA,3,3,2024,0.5195094760312152,0.816097809475293,0.9187500000000001,12;13;21,0.953660797034291,0.8863049095607235,1079
EA,4,1,10626,0.48387096774193544,0.6166642809428381,0.8707599828252468,0;1;2;3,0.8681506849315068,0.8733850129198967,1168
EA,4,2,10626,0.5754085186177337,0.8251748251748251,0.9095744680851063,1;3;9;12,0.936986301369863,0.8837209302325582,1095
EA,4,3,10626,0.5179458862506902,0.845724907063197,0.9201961658493089,7;12;13;21,0.9537892791127541,0.8888888888888888,1082
EA,4,4,10626,0.529608938547486,0.808405310833144,0.9187500000000001,12;13;20;21,0.953660797034291,0.8863049095607235,1079
EA,5,1,42504,0.4691840277777778,0.577148958889482,0.8395657418576598,0;1;2;3;13,0.7873303167420814,0.8992248062015504,1326
EA,5,2,42504,0.5606891151135475,0.7964172389039452,0.9015817223198594,1;2;3;9;13,0.9201793721973094,0.8837209302325582,1115
EA,5,3,42504,0.6631459826480574,0.8592456301747929,0.9171466548515729,1;11;13;15;21,0.9443430656934306,0.8914728682170543,1096
EA,5,4,42504,0.5261382799325465,0.8314944834503512,0.9200535953550693,11;13;14;20;23,0.9554730983302412,0.8871662360034454,1078
EA,5,5,42504,0.5331050228310502,0.8031368490090386,0.9186046511627907,12;13;14;20;23,0.9553488372093023,0.8845822566752799,1075
EA,6,1,134596,0.4603918228279387,0.5535737361817892,0.8302186878727634,0;1;2;3;12;13,0.7710487444608567,0.8992248062015504,1354
EA,6,2,134596,0.5502049180327869,0.7524713387248712,0.894005212858384,0;1;2;3;10;13,0.901840490797546,0.8863049095607235,1141
EA,6,3,134596,0.6425149700598802,0.8556451612903226,0.9137777777777777,0;3;8;11;12;13,0.9439853076216712,0.8854435831180018,1089
EA,6,4,134596,0.6760673717195457,0.8563636363636363,0.9209932279909706,1;9;13;14;19;23,0.967741935483871,0.8785529715762274,1054
EA,6,5,134596,0.5329545454545455,0.827029752899647,0.9200535953550693,11;13;14;20;22;23,0.9554730983302412,0.8871662360034454,1078
EA,6,6,134596,0.5334094802969731,0.797514241325738,0.9186046511627907,12;13;14;15;20;23,0.9553488372093023,0.8845822566752799,1075
FD,1,1,24,0.07794871794871795,0.6345449579618316,0.8315643747115828,3,0.8956262425447317,0.7760551248923342,1006
FD,2,1,276,0.07711821410451548,0.5191500455866344,0.8137931034482758,3;9,0.814495254529767,0.8130921619293713,1159
FD,2,2,276,0.08665906499429875,0.7605635513451146,0.8431924882629108,3;23,0.9267285861713106,0.7734711455641688,969
FD,3,1,2024,0.3048891588217431,0.4356288206913452,0.7961490163248222,2;3;9,0.7744299674267101,0.8191214470284238,1228
FD,3,2,2024,0.08416389811738649,0.742212000646052,0.8467889908256881,3;11;13,0.9057899901864573,0.7950043066322137,1019
FD,3,3,2024,0.08566721581548599,0.7689097548252477,0.8435885392202911,3;20;23,0.9276859504132231,0.7734711455641688,968
FD,4,1,10626,0.29550446624688825,0.4052765216102009,0.7498039215686274,1;2;3;9,0.6882649388048956,0.8234280792420328,1389
FD,4,2,10626,0.3453162806774974,0.6858972277468848,0.8436792025373812,0;3;9;11,0.890057361376673,0.801894918173988,1046
FD,4,3,10626,0.08675534991324464,0.7908210073020033,0.8558139534883721,3;11;12;21,0.9302325581395349,0.7924203273040482,989
FD,4,4,10626,0.08408903544929926,0.7576396206533194,0.8435885392202911,3;13;20;23,0.9276859504132231,0.7734711455641688,968
FD,5,1,42504,0.2869738339021615,0.379290726341741,0.7133898930284027,2;3;9;14;15,0.6238709677419355,0.8329026701119724,1550
FD,5,2,42504,0.3375527426160338,0.611197514372477,0.8343010272443054,0;3;5;9;11,0.8664192949907236,0.8044788975021533,1078
FD,5,3,42504,0.43501326259946943,0.7701441899915182,0.8531337698783911,0;3;11;13;17,0.9334698055271239,0.7855297157622739,977
FD,5,4,42504,0.08726003490401396,0.7988136431043006,0.8562121917170776,3;11;12;21;23,0.9311740890688259,0.7924203273040482,988
FD,5,5,42504,0.08408903544929926,0.7458533975387908,0.8435885392202911,3;13;15;20;23,0.9276859504132231,0.7734711455641688,968
FD,6,1,134596,0.2798114254021076,0.35984541734299863,0.6887228744219139,1;2;3;9;14;15,0.5866666666666667,0.8337639965546942,1650
FD,6,2,134596,0.33156498673740054,0.5606837606837607,0.8169257340241797,1;2;3;5;9;11,0.819047619047619,0.8148148148148148,1155
FD,6,3,134596,0.4228401613245596,0.7320754716981133,0.852428964252979,1;3;9;11;12;17,0.910871694417238,0.8010335917312662,1021
FD,6,4,134596,0.5190884877182599,0.8007149240393208,0.8576814326107446,0;3;11;12;17;21,0.9469302809573361,0.7838070628768303,961
FD,6,5,134596,0.08881578947368421,0.7952630318902854,0.8562121917170776,3;11;12;13;21;23,0.9311740890688259,0.7924203273040482,988
FD,6,6,134596,0.08408903544929926,0.7389428263214671,0.8435885392202911,3;13;15;20;22;23,0.9276859504132231,0.7734711455641688,968
IL,1,1,24,0.5679879578524837,0.7910927233968212,0.9218181818181818,1,0.9759384023099134,0.8733850129198967,1039
IL,2,1,276,0.49253731343283585,0.7409082951176158,0.9174887892376681,1;3,0.9569691300280636,0.8811369509043928,1069
IL,2,2,276,0.5755102040816327,0.8380540987898287,0.926094890510949,3;21,0.9844810863239574,0.8742463393626184,1031
IL,3,1,2024,0.46718146718146725,0.6866537886946051,0.9128113879003558,1;2;3,0.9438822447102115,0.8837209302325582,1087
IL,3,2,2024,0.5722983257229833,0.8654971233849411,0.9363431151241535,1;13;17,0.9838709677419355,0.8931955211024979,1054
IL,3,3,2024,0.5799011532125206,0.8302743059777768,0.926094890510949,3;20;21,0.9844810863239574,0.8742463393626184,1031
IL,4,1,10626,0.4495356037151704,0.6479880774962742,0.9079646017699115,0;1;2;3,0.9335759781619655,0.8837209302325582,1099
IL,4,2,10626,0.5345124048145419,0.865783148619119,0.9329734592892488,1;3;9;12,0.9764595103578154,0.8931955211024979,1062
IL,4,3,10626,0.5815991237677984,0.86328125,0.9362279511533242,1;13;15;17,0.9857142857142858,0.8914728682170543,1050
IL,4,4,10626,0.5833333333333334,0.8232178677875608,0.926094890510949,3;20;21;22,0.9844810863239574,0.8742463393626184,1031
IL,5,1,42504,0.4370860927152318,0.6098249576510446,0.9014567266495288,1;2;3;13;15,0.896845694799659,0.9061154177433247,1173
IL,5,2,42504,0.5243373493975904,0.8408817635270541,0.9291759465478842,0;1;3;14;17,0.9621771217712177,0.8983634797588286,1084
IL,5,3,42504,0.6891074130105899,0.8797409805735432,0.9372460496613995,1;11;13;15;17,0.9848197343453511,0.8940568475452196,1054
IL,5,4,42504,0.5848017621145374,0.8516510596352882,0.9360544217687076,1;13;17;21;22,0.9885057471264368,0.8888888888888888,1044
IL,5,5,42504,0.5970488081725311,0.8057553956834532,0.926094890510949,3;20;21;22;23,0.9844810863239574,0.8742463393626184,1031
IL,6,1,134596,0.4306049822064057,0.5752773375594294,0.897228144989339,0;1;2;3;13;15,0.8885135135135135,0.9061154177433247,1184
IL,6,2,134596,0.5112781954887218,0.7956748695003728,0.9247121346324181,0;1;2;3;12;17,0.9516864175022789,0.8992248062015504,1097
IL,6,3,134596,0.6853932584269663,0.8872117400419288,0.9370503597122303,0;1;11;13;15;17,0.980244590780809,0.8975021533161068,1063
IL,6,4,134596,0.7212844792095513,0.8713886300093197,0.9373591707976565,0;1;13;15;17;22,0.9829867674858223,0.8957795004306632,1058
IL,6,5,134596,0.5978567399887197,0.8465509150633506,0.9360544217687076,1;13;17;20;21;22,0.9885057471264368,0.8888888888888888,1044
IL,6,6,134596,0.5973878478137422,0.8018575851393188,0.9254686785550982,3;13;15;20;21;22,0.98635477582846,0.8716623600344531,1026
LL,1,1,24,0.14050822122571002,0.6458328469677663,0.8360888049126122,15,0.9257322175732218,0.7622739018087855,956
LL,2,1,276,0.13843888070692195,0.5591209148433527,0.8317757009345794,14;15,0.9090909090909091,0.7665805340223945,979
LL,2,2,276,0.15291529152915292,0.7368939043696325,0.8426150121065376,15;20,0.9623893805309734,0.7493540051679587,904
LL,3,1,2024,0.38979591836734695,0.5049382797418704,0.8271375464684015,2;14;15,0.8980827447023209,0.7665805340223945,991
LL,3,2,2024,0.14846235418875928,0.7258706782234517,0.8450433108758422,3;11;15,0.9574700109051254,0.756244616709733,917
LL,3,3,2024,0.1549691184727681,0.7394594594594595,0.8426150121065376,15;20;22,0.9623893805309734,0.7493540051679587,904
LL,4,1,10626,0.3772171856523453,0.4661326022079936,0.8136054421768708,2;3;14;15,0.8591954022988506,0.772609819121447,1044
LL,4,2,10626,0.4368976594768243,0.6860618797059905,0.843975036005761,1;2;10;15,0.9533622559652929,0.7571059431524548,922
LL,4,3,10626,0.15282392026578073,0.7690467554289093,0.8475228475228475,1;13;15;20,0.9596949891067538,0.7588285960378983,918
LL,4,4,10626,0.15409054805401112,0.7318132464712269,0.842462433349491,13;15;20;22,0.9634146341463414,0.7484926787252368,902
LL,5,1,42504,0.3690705746239876,0.44063900521928057,0.8000000000000002,1;2;3;14;15,0.8284132841328413,0.7734711455641688,1084
LL,5,2,42504,0.4273542600896862,0.6256358134278046,0.8375177640928471,1;2;3;11;15,0.9305263157894736,0.7614125753660638,950
LL,5,3,42504,0.46606704824202777,0.7467018469656992,0.8478156505040807,1;9;13;15;20,0.9577006507592191,0.7605512489233419,922
LL,5,4,42504,0.15479528883903532,0.7769633507853403,0.8458574181117533,1;12;13;15;20,0.9595628415300547,0.756244616709733,915
LL,5,5,42504,0.15409054805401112,0.7239868565169771,0.8423095584667638,13;15;20;21;22,0.9644444444444444,0.7476313522825151,900
LL,6,1,134596,0.36185080264400377,0.42523001064979266,0.780466724286949,0;1;2;3;14;15,0.7831743278404163,0.7777777777777778,1153
LL,6,2,134596,0.4180021953896817,0.590894819466248,0.8323213451658104,1;2;9;13;14;15,0.9091836734693878,0.7674418604651163,980
