center,pipeline,precision,recall,f1
EA,0,0.9122486288848263,0.859603789836348,0.8851441241685145
EA,1,0.9265116279069767,0.8578811369509044,0.89087656529517
EA,2,0.9042076991942704,0.8699397071490095,0.8867427568042142
EA,3,0.9306839186691312,0.8673557278208441,0.8979045920641997
EA,4,0.6306068601583114,0.4117140396210164,0.4981761334028141
EA,5,0.7339593114241002,0.40396210163652024,0.5211111111111112
EA,6,0.6002855103497502,0.7243755383290267,0.6565183450429353
EA,7,0.671345995045417,0.7002583979328165,0.6854974704890389
EA,8,0.7975243147656941,0.7769164513350559,0.787085514834206
EA,9,0.8351851851851851,0.7769164513350559,0.8049977688531905
EA,10,0.759349593495935,0.8044788975021533,0.781263069845253
EA,11,0.7820620284995808,0.8036175710594315,0.7926932880203906
EA,12,0.8158307210031348,0.896640826873385,0.8543290931473123
EA,13,0.8391269199676638,0.8940568475452196,0.865721434528774
EA,14,0.802784222737819,0.8940568475452196,0.8459657701711492
EA,15,0.8215701823949246,0.892334194659776,0.8554913294797688
EA,16,0.5690213869086196,0.756244616709733,0.6494082840236687
EA,17,0.581805838424983,0.7381567614125754,0.6507213363705391
EA,18,0.551875,0.7605512489233419,0.6396233248822891
EA,19,0.5606451612903226,0.7484926787252368,0.6410918480265584
EA,20,0.4752783964365256,0.9190353143841516,0.6265413975337639
EA,21,0.5887230514096186,0.917312661498708,0.7171717171717172
EA,22,0.45539906103286387,0.9190353143841516,0.6090182648401826
EA,23,0.5566579634464752,0.9181739879414298,0.693107932379714
FD,0,0.6325785244704164,0.7459086993970715,0.6845849802371542
FD,1,0.7863720073664825,0.73557278208441,0.7601246105919003
FD,2,0.8462255358807083,0.7820844099913867,0.8128916741271262
FD,3,0.8956262425447317,0.7760551248923342,0.8315643747115828
FD,4,0.09632446134347275,0.06546080964685616,0.07794871794871795
FD,5,0.1830238726790451,0.059431524547803614,0.08972691807542262
FD,6,0.2946058091286307,0.7338501291989664,0.4204293116210215
FD,7,0.46123372948500285,0.7019810508182601,0.5566939890710384
FD,8,0.7337786259541985,0.6623600344530577,0.6962426437301947
FD,9,0.8571428571428571,0.6563307493540051,0.7434146341463415
FD,10,0.6315049226441631,0.7734711455641688,0.6953155245838173
FD,11,0.7198067632850241,0.7700258397932817,0.7440699126092384
FD,12,0.6276595744680851,0.8130921619293713,0.7084427767354596
FD,13,0.6728571428571428,0.8113695090439277,0.735650136665365
FD,14,0.6843251088534107,0.8122308354866494,0.7428121307601416
FD,15,0.7294573643410853,0.8105081826012058,0.7678498572011424
FD,16,0.2897106109324759,0.7760551248923342,0.4219152423320066
FD,17,0.40036646816307836,0.7527993109388458,0.5227272727272727
FD,18,0.27462867535616853,0.7803617571059431,0.40627802690582965
FD,19,0.3920071845532106,0.751937984496124,0.5153482880755609
FD,20,0.30054978619425776,0.8475452196382429,0.44374295377677553
FD,21,0.4477543538038497,0.8415159345391904,0.5845049356865092
FD,22,0.3039306716186939,0.8458225667527993,0.44717668488160295
FD,23,0.4422815753734722,0.8415159345391904,0.5798219584569733
IL,0,0.959731543624161,0.8621877691645133,0.9083484573502723
IL,1,0.9759384023099134,0.8733850129198967,0.9218181818181818
IL,2,0.9571836346336822,0.8664944013781223,0.9095840867992767
IL,3,0.9667931688804554,0.8776916451335056,0.9200902934537246
IL,4,0.6802884615384616,0.48751076658053405,0.5679879578524837
IL,5,0.7823529411764706,0.4582256675279931,0.5779467680608366
